date,HMVA,HMVA-mv,MVO,GMV,HRP,EW,SPY-K
2002-01-08,-0.008683338379028092,-0.007003454428670672,-0.0019105570300376007,-0.00046652110227458443,-0.002698704037772062,-0.00457924,-0.003000870966286619
2002-01-09,-0.010710305967099272,-0.009412066487671195,0.0015891870834509548,-0.005282783971017607,-0.0040505527921223215,-0.004642539888619563,-0.005190454750445913
2002-01-10,0.006648935318390721,0.009723143934356212,0.004849169812356798,0.005463787234722957,0.0024655503812610153,-0.001345841814130444,0.001992632905577825
2002-01-11,0.020152938922542545,0.01439940101146193,0.005179575657545841,0.002154288101416252,-0.002436440595700635,-0.009017084409694292,-0.009750101410133698
2002-01-14,0.006815151021447308,0.008858632528582898,0.0076353575784116725,0.002351016549526093,-0.0003998895993712314,-0.008159615416231973,-0.005230396073183081
2002-01-15,-0.0020233696252035783,-0.0031723471794513607,-0.020725336272694996,0.0063163712789146695,0.006217259933367318,0.0063238257160131974,0.007401945804594011
2002-01-16,-0.0021228158643478647,0.0016239305391753675,-0.002068386256583891,-0.00510498581722552,-0.008076596789279723,-0.017208333800092852,-0.016336074260251705
2002-01-17,0.003005104309899538,-0.003057128375780948,-0.008391768009069985,0.004344372253618752,0.004472578936610635,0.00849663084451566,0.01075594706311284
2002-01-18,0.00020205060547673825,-0.0015036815847989775,-0.004142339387265074,-0.0028878185327389874,-0.004215170501505668,-0.007608365602991606,-0.010840124640885596
2002-01-22,0.010978685634475464,0.010174743758158125,0.007411529958430944,0.0027594957184554265,0.0022585845754330286,-0.006272068634291456,-0.0076090017712890715
2002-01-23,0.019295972107094446,0.010155843408143959,-0.0007515642535054727,0.004889938865769278,0.004722867557563126,0.006924103964327716,0.0056584135711212095
2002-01-24,-0.034033352470464365,-0.019932471614790663,-0.013346043303632104,-0.007721925417094514,-0.0038172771646638815,0.004437573761811929,0.0016812964787574854
