,AnnReturn,AnnVol,Sharpe,MaxDD,Calmar,Turnover,SharpeStab,Sortino,Omega,VaR95,CVaR95,Skew,Kurt,HitRate
HMVA,0.13968093494365275,0.17711929913419966,0.7886262853706267,-0.38620955550958713,0.36167135937211514,1.101120734733329,0.11204906269410235,1.0426739331286903,1.1677080522255516,-0.0157075276661973,-0.025448590191530476,-0.11579527690149091,12.764363423320702,0.5396715643906655
HMVA-mv,0.104018375446429,0.150690714052917,0.6902772748817263,-0.35845507719103753,0.29018524792994554,0.9516039742876079,0.10985344127136268,0.8809233116428682,1.1476747025843936,-0.013219294691879161,-0.021921790519132945,-0.33173875410513876,16.723945542561708,0.5412273120138289
HRP,0.09184608537690919,0.16270922487666484,0.5644798901016793,-0.424488852269303,0.2163686628892682,0.2907690932107376,0.10895840740913386,0.7112116438943062,1.1262981007246244,-0.015148163706184123,-0.024344275929499518,-0.14667004873426387,13.573260442019382,0.5438202247191011
MVO,0.039781247690881205,0.24625929446578304,0.1615421167236743,-0.5154974738544366,0.07717059677020731,0.508925955219419,0.10155070649277216,0.2228528496074682,1.0531242626713098,-0.023471582986463402,-0.03604026949479867,0.1365265467082018,6.9250471033338385,0.5109766637856525
GMV,0.06619970702361977,0.14705980501392624,0.4501550033834929,-0.3664658754849882,0.18064357816675225,0.32905616796649023,0.11593325048283983,0.5628873620113035,1.102294745217841,-0.01296642214729478,-0.021789450654101324,-0.3948002831556017,18.393926448227944,0.5336214347450302
EW,0.08982595160272866,0.1882416298816008,0.47718430646412746,-0.5520665309811985,0.16270856239569398,0.05687272727272727,0.1117126585227906,0.5960707776817384,1.1119736902421578,-0.017778377097755933,-0.028631714560749186,-0.18390785011363042,11.65176402097425,0.5452031114952464
SPY-K,0.09509053230523845,0.18906384755663003,0.5029546025543361,-0.5232526005031034,0.1817296888994142,0.06562876870731324,0.11222672636838746,0.6351845904570663,1.1162190976871975,-0.017949922111278247,-0.02865709568665508,-0.12665974625289111,10.546928408929954,0.5434745030250648
