date,HMVA-mv,EW,SPY-100
2000-07-03,0.014488968241033611,0.010300339999999998,0.008374323220052696
2000-07-05,-0.017578967783099114,-0.01642029261675791,-0.01762837735770221
2000-07-06,0.007811254210029192,0.00860660553208648,0.007846718047465387
2000-07-07,0.003786530789782368,0.01387507022525107,0.015693259360120133
2000-07-10,0.001485969755649694,-0.0018548717872470806,-0.003518368641185062
2000-07-11,0.022717048186473965,0.0031908212765038094,0.0012550055423014269
2000-07-12,-0.01447942732463365,0.009496708189694444,0.008475163508406127
2000-07-13,-0.007326485256887313,0.003190869917345959,0.002738394369493292
2000-07-14,-0.00907012782574092,0.012710318601090209,0.01014766752661123
2000-07-17,-0.0020523352665061706,-0.0010230640382391943,0.0025932109366096725
2000-07-18,0.001696191598546279,-0.01137104121438082,-0.012370732218105718
2000-07-19,0.0048210690739116414,-0.00933927146069777,-0.008568421778279822
2000-07-20,-0.01346276930265058,0.009125542187301048,0.010697036998649373
2000-07-21,-0.008422403804151022,-0.012839676245659406,-0.00951499514564758
2000-07-24,-0.008239229049275829,-0.011050568393950019,-0.011103141636634688
2000-07-25,0.0027057542367048774,0.011902695397233447,0.008765144686880187
2000-07-26,0.0005677198209208331,-0.015959779220156328,-0.014264854682665142
2000-07-27,0.028267798180382886,-0.006750700520010757,-0.0034101530734993207
2000-07-28,0.005078003997871838,-0.019151069994537494,-0.02252311904619397
2000-07-31,-0.011966213181310725,0.006923133796179476,0.008855281608021825
2000-08-01,0.010089431596734054,0.004789758668093054,0.0024922523859093764
2000-08-02,0.007478425537738161,0.00390508,0.00018585969978567382
2000-08-03,0.00814716700243557,0.009494167380515697,0.010413078868771082
2000-08-04,0.00909207891470132,0.008494532055756827,0.005534217213260117
2000-08-07,0.0015932154797181801,0.009645697413031753,0.009959451765388675
2000-08-08,0.005698141868215302,0.002549387398894634,0.0013770724420573692
2000-08-09,-0.01955694961558061,-0.008657739969995757,-0.00689004392583373
2000-08-10,-0.0022848073072686075,-0.009127051254496123,-0.010251267689928269
2000-08-11,0.007949598965455829,0.008773672198585028,0.006830557809985234
2000-08-14,0.007770092737300498,0.013280315885595292,0.013832457457675204
2000-08-15,-0.01119737527330663,-0.005727525591460879,-0.004138622899572791
2000-08-16,-0.0011598620137322855,-0.0028392620248388297,-0.0033203083722533363
2000-08-17,0.0030078657071817725,0.009907943564703309,0.010491624938502583
2000-08-18,-0.008886228820062476,-0.0030381365195931618,-0.0036460442178763938
2000-08-21,0.00545628136459027,0.0052550036908782325,0.006909811727405533
2000-08-22,-0.005520388083568776,-0.0015034850183578508,-0.002190769930344775
2000-08-23,0.004652602384780719,0.002747202083167596,0.006637292341736445
2000-08-24,-0.005312220508195497,0.002530917735370124,0.002903353568309794
2000-08-25,0.001807839449252927,-0.001749563289006141,-0.001276140754913031
2000-08-28,0.0009156584901217173,0.004058805990378476,0.005792618889208509
2000-08-29,-0.005402490547099262,-0.006565790165089924,-0.003442004761822348
2000-08-30,-0.006099448557128216,-0.003642609937534449,-0.006394076959134513
2000-08-31,-0.0017753514270992582,0.00911226,0.010550290798462031
2000-09-01,0.006775888099548662,0.0009712374001580361,0.0019740296434617314
2000-09-05,-0.0032985637797109495,-0.008405948136061997,-0.012183951740192961
2000-09-06,-0.002520118727668614,-0.009514878536801556,-0.015315847810842746
2000-09-07,0.0017108149728928105,0.008158112566496789,0.008853749640288186
2000-09-08,0.00010732123126312822,-0.006459806412162954,-0.007921090589025289
2000-09-11,-0.00118733682450237,-0.002522386717930511,-0.00609372494807431
2000-09-12,0.0011603450670725662,-0.0037002707046989145,-0.0067510018676872905
2000-09-13,-0.004279675954029314,0.0048076700835032885,0.003100121949243646
2000-09-14,-0.01665553396972356,-0.0036688746606060104,-0.002703356589219843
2000-09-15,-0.0006760479445686825,-0.009121117770607517,-0.011776841906167658
2000-09-18,-0.0014366250858324756,-0.01446536011920095,-0.012644191243915566
2000-09-19,-0.0048809028923546645,0.010294762882582116,0.013503434833977033
2000-09-20,-0.015353376959725365,-0.006141750165920128,-0.004246160385440236
2000-09-21,0.012125131296673326,-0.0019096517018685041,-0.002082836672150838
2000-09-22,0.024269203672655195,0.014412089590276898,-0.0002365009600915548
2000-09-25,-0.0010832100113712666,-0.006525455516152534,-0.009073254816043557
2000-09-26,-0.0016546299570061645,-0.0053344664030313006,-0.00962411391391568
2000-09-27,0.0017576015069374969,-0.0024102059585394066,-0.0014748566625806597
2000-09-28,0.023885523466632985,0.02444010138630758,0.021445328499911633
2000-09-29,-0.000798280891100052,-0.011168858987608124,-0.01610913108907603
2000-10-02,0.0072964691508550115,-0.0017551399999999992,0.0009166733380576574
2000-10-03,-0.0011926675117234463,-0.0075805451960353695,-0.008884400137910317
2000-10-04,9.198007408159246e-05,0.008265091557547066,0.007195782721005527
2000-10-05,0.004382324888040394,0.0008480755949831433,0.004610111600741242
2000-10-06,-0.008797201571044667,-0.021905582679845433,-0.01931448860633161
2000-10-09,-0.0006319062698376972,-0.004353736440048039,-0.00792276461497085
2000-10-10,0.00552908868008296,-0.014082000620552761,-0.011671662991023858
2000-10-11,-0.002977760873231103,-0.016313211572194918,-0.017353615457858726
2000-10-12,-0.01131497795381822,-0.02986623553668415,-0.027487192319316005
2000-10-13,-0.000390380173817866,0.03587240483498688,0.038270401423264815
2000-10-16,0.0033520177458998546,0.0017900836181170918,-0.0012458603900260539
2000-10-17,-0.0017550516860839684,-0.018601150990750742,-0.01747942214576622
2000-10-18,-0.004821680062206388,-0.0018446421430118145,-0.006217061709609643
2000-10-19,0.0038570900499900135,0.036073971209044084,0.03799070549955766
2000-10-20,0.007124877843743005,0.011989876400227526,0.0073393130535829645
2000-10-23,0.005287056334432944,0.001440414246739586,-0.0012476607591211924
2000-10-24,0.0029980752476708858,0.0013203132789680655,-0.000225183098898389
2000-10-25,-0.007482698381621053,-0.026842824164068347,-0.027152905505488486
2000-10-26,-0.0014982861984540131,-0.0036909798872387313,-0.0005103538308011494
2000-10-27,0.012060212812764277,0.014188193080524148,0.010174628119760378
2000-10-30,0.020477301750616402,0.012785700475434765,0.007841444991602447
2000-10-31,0.00256321163204529,0.02275272,0.024300469331149325
2000-11-01,0.008643658352053192,-0.00787207153398722,-0.007113068416489065
2000-11-02,-0.012999178041032814,0.003633057247222087,0.005788052945540558
2000-11-03,-0.004167579142944353,0.001407066658334932,0.0007914192551409345
2000-11-06,0.012094653580370296,0.0026029226579458646,0.0030980364837335825
2000-11-07,-0.0029420423841445276,-0.0028012114735399478,0.0002932088367402365
2000-11-08,0.008338975841352852,-0.018312685949614688,-0.020173638586932562
2000-11-09,0.001353852073214178,-0.007308453234725788,-0.006084333149654485
2000-11-10,-0.004506748770286997,-0.02404422324514753,-0.028536007988090344
2000-11-13,-0.014011145389961921,-0.012392010274434172,-0.012520657853142962
2000-11-14,0.011460346987157711,0.02265449603829999,0.027150904461278866
2000-11-15,0.006519259900247368,0.002227970408025534,0.003252463155120728
2000-11-16,-0.007822912282877912,-0.015066444177230966,-0.014544282921404783
2000-11-17,-0.001582195969598117,-0.00815828377423983,-0.0035888213882424532
2000-11-20,-0.004344711528078925,-0.018245393577525436,-0.020030927323038687
2000-11-21,0.010642562216104996,0.001076821549863974,0.005077006525424769
2000-11-22,-0.006436559171947144,-0.020615350102607535,-0.020787863876739292
2000-11-24,-0.003027848939225231,0.01639207455502264,0.01643533037710467
2000-11-27,0.008235286809825413,0.003912961825489745,0.006651195066776786
2000-11-28,0.004099107323819153,-0.012669694411773687,-0.011440348901008745
2000-11-29,-0.0030824765086063456,0.004483312923068356,0.0037265665844734576
2000-11-30,-0.009767956725408741,-0.015197360000000004,-0.01938143742645526
2000-12-01,-0.010275456925963261,0.0015613644538158436,-0.003062804984246941
2000-12-04,0.009576270760245345,0.005067263010381016,0.006954840634202607
2000-12-05,0.007195750853699394,0.04121203334104301,0.043052780952982636
2000-12-06,-0.02073307662632325,-0.019206605124797705,-0.019030310784858614
2000-12-07,0.0051521286925760535,-0.0014508880461829114,-0.005343107912971829
2000-12-08,-0.0008501580280590793,0.0191058717918608,0.018013985524465138
2000-12-11,-0.0076661997106386515,0.007560245842778078,0.006796341464652944
2000-12-12,0.0059430374699957714,-0.005731031466224102,-0.007658371766735
2000-12-13,0.010761672443661231,-0.005386798795993708,-0.006217138321366309
2000-12-14,-0.008715284877921604,-0.013313781385844164,-0.012628233425042034
2000-12-15,-0.011424467772795086,-0.017755810878980368,-0.02504282343923786
2000-12-18,0.014806924387503004,0.010423277835994295,0.005574689076320383
2000-12-19,-0.0019112550414789172,-0.014177288220333976,-0.01628555125639058
2000-12-20,-0.02033800265628393,-0.031875844377790535,-0.03540503695986628
2000-12-21,0.005173990918562281,0.009460487703163092,0.009677361261289565
2000-12-22,0.011450688442275711,0.018154164824088367,0.022188924148443905
2000-12-26,0.015833402926691047,0.00894213226832521,0.005457408334100818
2000-12-27,0.011569149611400646,0.012070705677847736,0.007922539115407459
