,AnnReturn,AnnVol,Sharpe,MaxDD,Calmar,Turnover,SharpeStab
HRP-Sample,0.013584727635987726,0.1545296003104934,0.08791019719647362,-0.3827678174392599,0.035490778004458115,0.32615019290624625,0.11024010014602396
HRP-LW,0.022014614999512405,0.1604667264070699,0.137191151663841,-0.3808362226163814,0.05780599032379296,0.23605917003144392,0.1098935278004093
HRP-NLS,0.015232871427110384,0.18949932594618069,0.08038483171933097,-0.43486161615066077,0.035029238869021845,0.008090675947813345,0.10806866142648865
HRP-POET,0.014718817190110256,0.15110152438500213,0.09741011713824378,-0.3720225198144639,0.03956431776616874,0.31711122313523066,0.1101123714186067
HRP-PoetCV,0.018060721179171013,0.15166056862213864,0.11908646620051377,-0.37590824036435433,0.04804555803742266,0.3399807519444056,0.11056094240305989
EW,0.015232871427110384,0.18949932594618066,0.08038483171933099,-0.43486161615066077,0.035029238869021845,0.008090675947812967,0.10806866142648858
MinVar-LW,0.051585115977201834,0.13406710216541948,0.3847708732717534,-0.2841798007498565,0.18152280999946435,2.038340440153322,0.11933252626428302
MinVar-NLS,0.015232871427110162,0.1894993259461807,0.0803848317193298,-0.4348616161506609,0.035029238869021324,0.008090675947812959,0.10806866142648863
RP-Sample,0.02242154493600146,0.17640155709886654,0.1271051418408683,-0.41792116650750644,0.053650177911241874,0.06286213055529788,0.10894533398105588
