rebal,K,C
0,4,1.5
1,10,1.5
2,10,1.5
3,5,1.0
4,10,1.0
5,6,1.0
6,8,0.25
7,8,1.0
8,4,1.0
9,10,1.0
10,10,1.0
11,10,1.0
12,8,0.25
13,4,1.5
14,8,1.5
15,10,1.5
16,3,1.0
17,10,1.0
18,3,1.5
19,5,1.5
20,8,1.0
21,3,1.5
22,1,1.5
23,1,1.0
24,10,1.0
25,6,1.0
26,10,1.5
27,4,1.0
28,4,1.0
29,4,1.0
30,5,1.0
31,8,1.0
32,5,1.5
33,4,1.0
34,3,1.0
35,8,1.0
36,10,1.0
37,1,1.0
38,5,1.0
39,10,1.0
40,1,1.5
41,1,0.25
42,2,0.25
43,3,1.0
44,8,1.0
45,3,1.0
46,3,1.0
47,10,1.0
48,10,1.0
49,5,1.5
50,4,1.5
51,6,1.0
52,10,1.0
53,8,1.0
54,4,0.25
55,2,0.25
56,3,0.5
57,2,1.0
58,10,1.5
59,10,1.5
60,2,1.5
61,4,1.5
62,4,1.0
63,4,1.5
64,8,1.0
65,10,1.0
66,8,1.0
67,10,1.0
68,6,1.0
69,6,1.0
70,8,1.5
71,8,1.0
72,5,1.0
73,5,1.0
74,10,1.0
75,6,1.5
76,10,1.0
77,10,1.0
78,5,1.0
79,10,1.0
80,10,1.0
81,4,1.0
82,8,1.5
83,6,1.0
84,1,1.5
85,2,1.5
86,4,1.5
87,10,1.0
88,10,1.0
89,10,0.5
90,8,1.0
91,6,1.0
92,2,1.5
93,6,1.5
94,6,1.0
95,10,1.0
96,10,0.25
97,10,1.0
98,8,1.0
99,5,1.0
100,2,1.0
101,1,1.0
102,10,0.25
103,1,1.5
104,2,1.5
105,2,1.5
106,3,1.5
107,1,1.5
108,3,1.0
109,6,1.0
110,10,1.5
111,10,1.0
112,8,1.5
113,5,1.5
