date,HMVA,MVO-EK,MHRP-EK
2000-07-03,0.014604888310346271,0.00899891877994924,0.012981313030446532
2000-07-05,-0.012362789863138782,-0.003788056925646734,-0.011577387420875291
2000-07-06,0.005249402613383451,-0.0004090175881957083,0.0035650972441544945
2000-07-07,0.004217176164353378,0.011962477591258257,0.007450463552917845
2000-07-10,0.0019399383939146218,0.023046491639140035,-0.0006554257648809054
2000-07-11,0.014860899310518,-0.0016483048810761293,0.007713734497389516
2000-07-12,-0.014085782123714072,-0.005558429155725001,-0.0021783790821043206
2000-07-13,-0.007788912321948305,-0.025366526928151452,-0.0005403769949143166
2000-07-14,-0.009494544550292215,0.012708232772251242,0.004616999260769826
2000-07-17,0.0025899366015513146,0.013630603863586695,-0.005269018085153665
2000-07-18,0.0030968564208031686,0.0016023039585159034,-0.003070084019177197
2000-07-19,0.007936559325391578,-0.021291975142216462,0.0020709618096137433
2000-07-20,-0.01629044183350525,-0.03559852604789521,0.00012683291718622913
2000-07-21,-0.003568560687328497,0.00831055210464809,-0.009422397753931984
2000-07-24,-0.005932946014467038,0.018198287679714476,-0.007317047150421527
2000-07-25,0.0008461692406190737,0.010819155760958517,0.004380639177031906
2000-07-26,-0.00287596534501474,-0.028423777783195023,-0.012124721242438111
2000-07-27,0.030563985301557673,-0.011286233473966649,0.006358285114993139
2000-07-28,0.009539990902452633,0.017225176685582974,-0.005003650624103339
2000-07-31,-0.012220535202522075,0.015328518010142742,-0.0007097943291492604
2000-08-01,0.014080545217346101,0.009559316387096874,0.013142613830852865
2000-08-02,0.004779617144862969,0.00019360713119463802,0.006541702182220872
2000-08-03,0.01210324186782345,0.024441256715078238,0.005890415054253139
2000-08-04,0.010416059107619722,0.0013693590189566265,0.008331163312106449
2000-08-07,-0.0034490591402661685,-0.010620728581578115,0.005047277312655919
2000-08-08,0.00986587595936556,0.015287694650368349,0.006430390271779113
2000-08-09,-0.05796887463859302,-0.16359524344802515,-0.01704355337603904
2000-08-10,-0.003555166946243591,-0.0314336580355392,-0.004376066717157009
2000-08-11,0.007800533073220047,0.018870252312941566,0.009499539021634489
2000-08-14,0.0069641363119245635,-0.002544316588848847,0.009847960441050005
2000-08-15,-0.011907487526752584,0.002989328452547927,-0.007927825747950304
2000-08-16,3.402212473506423e-05,0.014646457481927947,-0.0020486328759751786
2000-08-17,0.0005065245515200305,0.010004413538460358,0.008023558105966645
2000-08-18,-0.012730820312726161,-0.02279519599639967,-0.006424175826380247
2000-08-21,0.0045335386781476025,0.007543985313217456,0.005440173876093421
2000-08-22,-0.005398715815608942,-0.0048854220444324,-0.004099883924790184
2000-08-23,0.005721390249764169,0.015946386171887917,0.0031961846505187226
2000-08-24,-0.0032494600101420873,-0.004350920538123604,4.662135534422966e-05
2000-08-25,0.002153080306295686,0.011112335655645475,0.0023828760845149874
2000-08-28,0.0026032254361182477,-0.0014292431365048764,0.004702195654044481
2000-08-29,-0.007344177443905435,-0.005673852527441114,-0.006288607165200121
2000-08-30,-0.00683947208470961,-0.013896313152406466,-0.005488657795861404
2000-08-31,-0.007925902873086402,-0.016213576478150707,0.0011484496248891942
2000-09-01,0.00953302733297424,0.00642496116267252,0.0035178024662048993
2000-09-05,-0.0010709937870757365,0.0034883749796996155,-0.0046179916158745745
2000-09-06,-0.007811518535982597,0.004778954186630507,-0.0015098183631083073
2000-09-07,0.0026749867954235095,0.011936968824890985,0.0024361332451288066
2000-09-08,0.0025704140176898583,-0.01214033021083184,-0.0015845355586385282
2000-09-11,-0.0009977237909932107,0.005536185795950723,0.0028047086373992752
2000-09-12,0.001095556043388661,-0.002256598448250744,-0.0016234419649669533
2000-09-13,-0.003618348679593884,0.006536581045624637,0.0013817844082686466
2000-09-14,-0.01604223779126765,-0.008774361499925554,-0.008826848841041844
2000-09-15,-0.0005529731592871998,0.005815790122100418,-0.005384765529398094
2000-09-18,0.003643340144590279,-0.009480383347496395,-0.009899935253260978
2000-09-19,-0.002319558674165788,-0.007185654516053477,-0.0020671832342950025
2000-09-20,-0.017503103807812052,-0.014312823271279237,-0.008748580696310857
2000-09-21,0.010338926551857707,0.00910317788578355,0.005398857584019812
2000-09-22,0.028964749015896837,0.018980052438751116,0.01903792801922867
2000-09-25,0.0029966415313204394,-0.006925512996113124,-0.0018247752115762134
2000-09-26,0.00032372186134902386,-0.011894195081348853,-0.0031139435153045864
2000-09-27,0.00042430222904260144,-0.0001445936714467152,0.0006290565218089128
2000-09-28,0.0211735866433277,0.012439178389479472,0.019109060744124443
2000-09-29,-0.000710674541119211,0.004379487184115417,-0.002170289433013762
2000-10-02,0.01309075266017009,-0.007339439181100291,-0.0006796475353058755
2000-10-03,-0.002890472701246049,-0.04677517316311147,-0.003710828407414831
2000-10-04,-0.0004745210272417071,0.0006205814747808282,0.004259987038480082
2000-10-05,0.0076334477226148835,0.0024305702726991753,-0.0001636042221112046
2000-10-06,-0.008680345027767052,-0.030780051519295533,-0.01614724636589254
2000-10-09,0.0014455115549226382,-0.002838143300780382,-0.0037233633614163087
2000-10-10,0.0058028748821126385,-0.023938076394670757,-0.006136834826470017
2000-10-11,-0.0018515296983788105,0.036773887696003926,-0.010592754548504817
2000-10-12,-0.012054641414591529,-0.015560705539220683,-0.02328471398319542
2000-10-13,-0.0034859186149829137,0.07485913926835444,0.02638158200093249
2000-10-16,0.0029978013819772537,0.006012439715635472,0.001474976879719583
2000-10-17,0.0005994527095240141,-0.00570843229140208,-0.012759536993171651
2000-10-18,-0.011396917990477623,0.017547729761884644,0.0006467778313966696
2000-10-19,0.0025293597884749656,0.016242504841814574,0.01971637387249595
2000-10-20,0.0041246592576344885,0.022959427249701132,0.011859212181852662
2000-10-23,0.003135844832082648,-0.00981724522083139,0.0029579533398689335
2000-10-24,0.0009480547836658852,0.006475395179849849,0.006888480964996315
2000-10-25,-0.005534177700798414,-0.03312473778152613,-0.016717033314748213
2000-10-26,0.0016326842485091455,-0.004681057705627359,-0.003399751880196742
2000-10-27,0.010616594517006618,0.004830085459162887,0.013180304293329668
2000-10-30,0.020253343735293947,0.014985301746352809,0.01885261918449998
2000-10-31,0.006003111052638362,0.009322883335569486,0.012677913314744464
2000-11-01,0.012493107837106386,0.014684849931440794,-0.0017670673698144451
2000-11-02,-0.012663741786598938,0.05179839426533909,0.0013186233837730508
2000-11-03,-0.005610791412022444,0.07374549375940566,0.0007404491079793
2000-11-06,0.01205117058397524,-0.03889071368385182,0.0060762091984596514
2000-11-07,-0.0009996874805216823,-0.009801728418395144,-0.004039434009532545
2000-11-08,0.008352830805436052,-0.03604078619129492,-0.0068525686105957336
2000-11-09,0.0029831548295199423,-0.04014381568475744,-0.003699992754483985
2000-11-10,-0.005414441913126469,-0.06740973119058204,-0.015699308325633262
2000-11-13,-0.013655277575675924,-0.038451295993615804,-0.014377468299291324
2000-11-14,0.011838141821255373,0.07996283144122322,0.017699057318254472
2000-11-15,0.005131713574775678,9.6161862113793e-05,0.00498532772888768
2000-11-16,-0.0069522291506055114,-0.05323543941579795,-0.011304582707661248
2000-11-17,0.0016801780617523056,0.00829607998162321,-0.001734325156558927
2000-11-20,-0.008650745463100051,-0.05150489803619537,-0.013200078195350493
2000-11-21,0.0083202198439297,0.04091625712487082,0.008159210484780771
2000-11-22,-0.005508138119939597,-0.07470691535608917,-0.015318214598784893
2000-11-24,-0.0024774533124519924,0.04477622806923399,0.007481846489583311
2000-11-27,0.006009546805006793,0.0029508675871709727,0.007035519339075627
2000-11-28,0.0020769798742515284,-0.0781051859509514,-0.006368028191380448
2000-11-29,-0.003597448567741431,-0.027117864810068868,0.0031636140207872204
2000-11-30,-0.010652791468893426,-0.003690990074397586,-0.005019631222254579
2000-12-01,-0.015863561774309327,0.0013783319021012704,-0.006433188419901671
2000-12-04,0.00808716643095242,0.0007683992642265479,0.003442681472351469
2000-12-05,0.008575939361264665,0.03876926445084112,0.02071247012996326
