date,HMVA,MVO,EW,SPY-100
2000-07-03,0.017968011363779273,0.0077515738824522245,0.00959,0.00711740577473039
2000-07-05,-0.013085024392354132,-0.0005000544257582911,-0.016096939268514944,-0.0176890628378274
2000-07-06,0.005433845969984302,-0.0012336947714336594,0.00876922142209384,0.008094772244244602
2000-07-07,0.004204777070221844,0.010547914207820596,0.013614329297311729,0.015463169951824424
2000-07-10,0.0027189065949155917,0.02170180683632877,-0.002112893815111219,-0.0034007036095452564
2000-07-11,0.01450632096069744,-0.002706477256686903,0.0025473909023967707,0.0013474179890446802
2000-07-12,-0.011804693737170684,-0.005610402947982027,0.009462925373480207,0.008519878251113208
2000-07-13,-0.0065882202562470744,-0.024024028960402347,0.0025509884119650486,0.0025231246229004195
2000-07-14,-0.008733800071905733,0.010625149477381904,0.012890172449639891,0.010473242616060627
2000-07-17,0.004321028588362381,0.012235698239061007,-0.0020380180895242647,0.0025536243430050276
2000-07-18,0.00296130722253807,0.0023474600056876617,-0.011434034373278803,-0.012460472903468127
2000-07-19,0.00873949886938854,-0.017814755319493884,-0.009562092116971586,-0.008414542930888572
2000-07-20,-0.0163888037269209,-0.03129358337153433,0.008088951946385961,0.010898466009883971
2000-07-21,-0.0005798405028760778,0.008187700380991763,-0.012438812743113032,-0.010067961032951446
2000-07-24,-0.0052672113372763405,0.016349355242994468,-0.009895897109082103,-0.010970678662364614
2000-07-25,-0.0023699970007455442,0.010587966324565339,0.010974983270873057,0.00846404032163901
2000-07-26,-0.002436916425047546,-0.028348567059127854,-0.01570986931471088,-0.014030748146407309
2000-07-27,0.03493051123645395,-0.009358704243732084,-0.005478161455365767,-0.002988453394717744
2000-07-28,0.007340069146284912,0.015988772208328124,-0.017921906557708596,-0.022220400329494943
2000-07-31,-0.013201433889392178,0.013758246564521293,0.007271789303998078,0.008913019908489899
2000-08-01,0.015847137456047287,0.010962870761343856,0.005315123277529722,0.0026239642483179815
2000-08-02,0.012939938725343486,-0.00030690405058808183,0.00307319,-0.0005285621486086475
2000-08-03,0.002336409639723166,0.013319668648655024,0.009301421132220669,0.01063403241840924
2000-08-04,0.0011418408719071967,-0.010033236941885033,0.008715554976812218,0.005615742091171694
2000-08-07,-0.005596010723144071,-0.007263847253317216,0.010338493878103278,0.010274778324692363
2000-08-08,0.008670274654118999,0.01235471901183843,0.0026610227548168074,0.0013102724412713592
2000-08-09,-0.05988323201537746,-0.26541185271147205,-0.008696880867966664,-0.006766984278306035
2000-08-10,0.01272570180935513,-0.01177974660196858,-0.009772752829336108,-0.010561373454620247
2000-08-11,0.006192666780071004,0.01271309287706474,0.008972403625497586,0.006845921104380372
