date,HMVA,HMVA-mv,MVO-EK,MVO-K,MVO-E,MVO,GMV-EK,GMV-K,GMV-E,GMV,HRP-EK,HRP-K,HRP-E,HRP,EW,SPY-100
2000-07-03,0.014604888310346271,0.014488968241033611,0.00899891877994924,0.026068244139434413,0.00899891877994924,0.026068244139434413,0.012101917670901761,0.010012361281984617,0.012101917670901761,0.010012361281984617,0.010585722672919608,0.010014400185847127,0.010585722672919608,0.010014400185847127,0.010300339999999998,0.008374323220052696
2000-07-05,-0.012362789863138782,-0.017578967783099114,-0.003788056925646734,-0.03517875168994289,-0.003788056925646734,-0.03517875168994289,-0.0059070873110057525,-0.02127252783765684,-0.0059070873110057525,-0.02127252783765684,-0.0077111193758467,-0.010162257136863665,-0.0077111193758467,-0.010162257136863665,-0.01642029261675791,-0.01762837735770221
2000-07-06,0.005249402613383451,0.007811254210029192,-0.0004090175881957083,0.006305714518050105,-0.0004090175881957083,0.006305714518050105,0.0052418838642829865,0.003488074503173547,0.0052418838642829865,0.003488074503173547,0.004443732570816776,0.003291769454147283,0.004443732570816776,0.003291769454147283,0.00860660553208648,0.007846718047465387
2000-07-07,0.004217176164353378,0.003786530789782368,0.011962477591258257,0.01569343126910059,0.011962477591258257,0.01569343126910059,0.005538107961141129,0.005130026924578968,0.005538107961141129,0.005130026924578968,0.009267651081963493,0.009483713645230481,0.009267651081963493,0.009483713645230481,0.01387507022525107,0.015693259360120133
2000-07-10,0.0019399383939146218,0.001485969755649694,0.023046491639140035,0.01289141419458625,0.023046491639140035,0.01289141419458625,0.00047382842694446755,-0.0017268368472725406,0.00047382842694446755,-0.0017268368472725406,0.0010081976857808312,0.00020541669032182297,0.0010081976857808312,0.00020541669032182297,-0.0018548717872470806,-0.003518368641185062
2000-07-11,0.014860899310518,0.022717048186473965,-0.0016483048810761293,0.007253880133066412,-0.0016483048810761293,0.007253880133066412,0.007908608542041482,0.007461280108768614,0.007908608542041482,0.007461280108768614,0.007891424271647551,0.0049265350272083945,0.007891424271647551,0.0049265350272083945,0.0031908212765038094,0.0012550055423014269
2000-07-12,-0.014085782123714072,-0.01447942732463365,-0.005558429155725001,0.007464199451761351,-0.005558429155725001,0.007464199451761351,-0.0014976559024297202,-0.0019705850205197647,-0.0014976559024297202,-0.0019705850205197647,-0.002751089027339588,-0.00034427694327116443,-0.002751089027339588,-0.00034427694327116443,0.009496708189694444,0.008475163508406127
2000-07-13,-0.007788912321948305,-0.007326485256887313,-0.025366526928151452,-0.004610826700871931,-0.025366526928151452,-0.004610826700871931,0.001358814851434776,0.001951193061448038,0.001358814851434776,0.001951193061448038,-0.0033581016577502935,-0.0007929465620481901,-0.0033581016577502935,-0.0007929465620481901,0.003190869917345959,0.002738394369493292
2000-07-14,-0.009494544550292215,-0.00907012782574092,0.012708232772251242,0.020693737266178503,0.012708232772251242,0.020693737266178503,-0.0006616893452721681,0.005210096772852106,-0.0006616893452721681,0.005210096772852106,0.003267483206737607,0.006057750494105858,0.003267483206737607,0.006057750494105858,0.012710318601090209,0.01014766752661123
2000-07-17,0.0025899366015513146,-0.0020523352665061706,0.013630603863586695,-0.006016504873718527,0.013630603863586695,-0.006016504873718527,-0.006907299417451891,-0.005016169881337507,-0.006907299417451891,-0.005016169881337507,-0.003959646051942769,-0.004684763930582155,-0.003959646051942769,-0.004684763930582155,-0.0010230640382391943,0.0025932109366096725
2000-07-18,0.0030968564208031686,0.001696191598546279,0.0016023039585159034,-0.01238770591529539,0.0016023039585159034,-0.01238770591529539,-0.0022403805960302227,-0.0037098224838400277,-0.0022403805960302227,-0.0037098224838400277,-0.003676403389437303,-0.004415803150816396,-0.003676403389437303,-0.004415803150816396,-0.01137104121438082,-0.012370732218105718
2000-07-19,0.007936559325391578,0.0048210690739116414,-0.021291975142216462,-0.001744630799031019,-0.021291975142216462,-0.001744630799031019,0.001974512256972085,0.004173358757691626,0.001974512256972085,0.004173358757691626,0.00025461070780628527,-0.002505491015316039,0.00025461070780628527,-0.002505491015316039,-0.00933927146069777,-0.008568421778279822
