,AnnReturn,AnnVol,Sharpe,MaxDD,Calmar,Turnover,SharpeStab
HRP-Sample,-0.005810162735488511,0.022741735965161856,-0.2554845744576896,-0.10879621342034673,-0.05340408965374812,0.037385658648425746,0.14082545314239486
HRP-LW,0.00460619700370235,0.03387938447134248,0.13595869805717958,-0.1276727768014584,0.036078145389328874,0.08238125131212351,0.13385072001259024
HRP-NLS,-0.005195761809661192,0.023149795056767612,-0.22444094200057566,-0.11006219876103518,-0.04720750510302021,0.03801918903275597,0.14114083788733756
HRP-POET,-0.005236987368739232,0.022897729839759434,-0.22871207780807026,-0.10661760466085723,-0.04911934933632869,0.03524201590778658,0.13919434708609052
HRP-PoetCV,-0.005633235386049207,0.022810793065051866,-0.2469548239723334,-0.11040291568439808,-0.05102433528252628,0.03903573761685291,0.13936480307403654
EW,0.04696390983109433,0.1342865327939699,0.3497291117281958,-0.30659145944236443,0.1531807504244031,0.0,0.1160510221385427
MinVar-Sample,-0.0019533493647956313,0.026684259435795707,-0.07320230750624854,-0.09782418631677692,-0.019967959237301935,0.17282674736993156,0.144554403177037
MinVar-NLS,-0.00561742732894821,0.03213076644511172,-0.17483016903889725,-0.1057922582748192,-0.05309866166535247,0.16929096230925184,0.14495837795162933
RP-Sample,0.023285701344052834,0.07613100670715686,0.305863567962826,-0.17325374875169708,0.13440229439090126,0.017185912483562417,0.12300967965893335
