Date,HRP-Sample,HRP-LW,HRP-NLS,HRP-POET,HRP-PoetCV,EW,MinVar-Sample,MinVar-NLS,RP-Sample
2017-01-04,0.0005339102696695113,0.0017625386104366642,0.0005476122640541715,0.0005347204170348834,0.0005335400023564492,0.0072782477158333985,0.0004518722744776922,0.0010575519278502104,0.00436254857260678
2017-01-05,0.0009498076150859293,0.0021253669281238075,0.000960725153402143,0.0009565874725036395,0.0009530045528964469,0.002953669154770318,0.0004865340547133239,0.0011391826839884849,0.0022866825422723433
2017-01-06,-0.001041608529997059,-0.0017044049081972794,-0.0010493035862156517,-0.0010477508530281265,-0.0010447328967874733,-0.0006393093246783952,-0.0007969669704712921,-0.0014330569305710526,-0.0011004736045780695
2017-01-09,0.0008120737208168351,0.0006967848227603444,0.0008115566022388422,0.0008169885606700234,0.0008145478469066503,-0.0029593178357656858,0.0006500195850936045,0.0009200223232101839,-0.0007720193040973897
2017-01-10,-0.00030219780566495845,-0.00010931997216645154,-0.00029939254434433924,-0.0003011054002294726,-0.0003018318062968101,0.0002038524941923604,-0.0003092352014360125,-0.00017131863388494389,0.00016861285058245978
2017-01-11,0.0006147041053383863,0.0012453937667143754,0.0006219976344254059,0.0006153535673533244,0.0006147620496661484,0.0045255856786130715,0.0006269048338341525,0.0009862835200407376,0.0025309092859529315
2017-01-12,0.0002930246038809362,0.0003749907571548611,0.00029067557965726046,0.0002938440374529288,0.00029359929917282943,-0.0004456621794417992,9.55948275978992e-05,0.00012008831442474372,-0.0002204243120525022
2017-01-13,-0.0005042438410901586,-0.000490198630241291,-0.0005045799022755366,-0.0005065737072157279,-0.000505698364790573,0.0013193765423046662,-0.00035908832195713047,-0.0005787529726935845,0.00043152853774012926
2017-01-17,0.0008587148734572886,0.0016520615751039612,0.0008655600006880153,0.0008647024199565561,0.0008620822668863929,1.7759608077123695e-05,8.355536278189495e-05,0.0005340180527378633,0.000726790902786539
2017-01-18,-0.001228580267562708,-0.002154929285114475,-0.001239356199760057,-0.001236221752941347,-0.0012324468686017614,-0.0014746740602018785,-0.0008254730615688357,-0.0016750840663412312,-0.0016016473438922093
2017-01-19,-0.0006009515553306513,-0.0013880458320898361,-0.0006107193066198197,-0.0006025055084023577,-0.0006014078052603724,-0.003651117643174222,-0.0005453704996439486,-0.001105165185758174,-0.00251661742892972
2017-01-20,0.0006626991025376141,0.0010959132372499493,0.0006669755511699273,0.0006616705189795075,0.0006619183318207527,0.004203394795230783,0.0006844083536980761,0.0007275936616968697,0.0024018831427579206
2017-01-23,0.0011085123097075687,0.0018127768550789045,0.001115677854974696,0.0011142751897385195,0.0011113720509171878,0.0007707671131514628,0.0007994938807315465,0.001433196038441404,0.0013237465694726522
2017-01-24,-0.0005806430064607753,-0.0005733230053779398,-0.0005782183344220171,-0.0005861339710294993,-0.0005837974188442922,0.004410654573217398,-0.0003144657621028949,-0.0006041326454675629,0.0018447533791556819
2017-01-25,-0.00035749178261805346,-0.000572717982244609,-0.0003612586818591488,-0.0003649662498934802,-0.0003617769408736003,0.00384702035816504,0.00012420777850164657,-0.00034387469720881985,0.001586370100415935
2017-01-26,0.00010529251675787406,-6.0116216673120437e-05,0.00010590379281204165,0.00010625285558986942,0.00010590372237536408,-0.00096589819342953,0.00018481713525162722,0.00041649869123987703,-0.0005021458108545526
2017-01-27,0.0004703224091921492,0.0005500946779601656,0.0004706479129054205,0.00047316213292811134,0.0004716948710913257,-0.0007251287192436537,0.0003492131327741159,0.0005460199035524458,-6.50533153897122e-05
2017-01-30,-0.00018607246200304253,-0.0008485096920490447,-0.0001938322092894106,-0.00018470997156272195,-0.0001849519355490244,-0.005346611309334223,-0.00024843717046344285,-0.0004551869792748774,-0.0029020816786595248
2017-01-31,0.00042909844969807743,0.0013565330766010673,0.0004378206261046475,0.00043274253839201517,0.0004308561527113495,0.0024879382898450983,8.880928434703894e-05,0.0004809834854054087,0.001693584050529415
2017-02-01,-0.00046004305986665367,-0.0005993249718030119,-0.00046490301761684973,-0.00046177843034558885,-0.0004612123304981187,0.0006185483147902549,-0.00034074752132136755,-0.00043208811040858794,-0.0001865779673682842
2017-02-02,0.0003604461196304367,0.000528912195775489,0.00036156638685822093,0.00035986311140809594,0.00036021274780409594,0.0009319604219418496,0.00022245191078827675,0.0001921389472764328,0.0007101475782254206
2017-02-03,-0.00017521485585814237,0.0006182119377241173,-0.00021946737514433974,-0.0001769771862770205,-0.0001758244088060003,0.004224150618095405,0.000410621872339229,0.0004018827157575631,0.0022840896801189373
2017-02-06,0.0011369457069592462,0.0013054621947357953,0.0011540680976572372,0.0011423489461076816,0.0011365021662585676,-0.0015137362736466263,0.0010657524487068743,0.0013582498548498519,7.651134003869227e-05
2017-02-07,-0.0001933110429626092,-0.00017985770494338598,-0.00019298481310289702,-0.00019215818809414757,-0.00019362565518035697,-0.001067733159554251,-0.0002479884746618284,-0.000180358156128189,-0.0002528917239059838
2017-02-08,0.0011147519999848447,0.0017646389069602157,0.0011359142774410157,0.0011178705966252284,0.0011144119053838185,0.0027408783471572634,0.0008386225451386132,0.0012077726123289358,0.0022441349333051767
2017-02-09,-0.0009284968999885879,-0.0010002759328042931,-0.0009705801051032174,-0.0009351224345952536,-0.0009286537202790958,0.002040488829057762,-0.0006021731474921136,-0.001027369176092974,0.0003236798045350084
2017-02-10,-5.908206409883856e-06,0.0007235999036591252,-6.353353742218841e-06,-6.836763602450128e-06,-6.401374278583907e-06,0.004576903578544173,-1.4405526795097418e-05,3.401308828034431e-05,0.0022855053306870903
2017-02-13,-0.00025255234735837136,-0.00023304691911613172,-0.0002882425210618968,-0.0002558046311511508,-0.0002527914645529842,0.0017094867602646037,7.972725455424459e-05,-0.00010461382403301219,0.0008954977964963871
2017-02-14,-0.0007871767735376644,-0.0008683565466718954,-0.0008110054744235593,-0.0007903237961352166,-0.0007874606269751262,0.0004775091806559218,-0.0004566725319688057,-0.0008016892593135052,-0.0003267276252200419
2017-02-15,-0.0002870449395765083,9.261611689670194e-05,-0.00030426506244781256,-0.00028852606236074883,-0.00028730663542774897,0.0025348697567538765,-6.816440793350023e-05,-9.00101584968219e-05,0.001335539224892503
2017-02-16,0.0005581070586234267,0.0008601870631837024,0.000568710778174844,0.0005609971767786621,0.0005578556423829941,0.0007668815524305401,0.0005023025581824171,0.0006555803766110913,0.0008114627164938384
2017-02-17,0.00078898075854776,0.0009636545477102598,0.0007898800326306618,0.0007906092912513341,0.0007892095188925273,0.00026452210698456574,0.0008378284891334008,0.0011034730690125626,0.0008524966191174107
2017-02-21,0.000230818698422667,0.0008864147041533624,0.00021324324386486928,0.00022826867228799446,0.00023047041499137845,0.004969352164870788,0.0002529280303157093,0.0003502636902154904,0.0027429130972483596
2017-02-22,0.0002607456767679729,0.0003186162221587617,0.0002598124682937972,0.00026290426387022775,0.0002609669006552607,-0.0009078463818784607,0.00037127917960349925,0.0005856404449308526,-5.231258227959794e-05
2017-02-23,0.0005732431068655304,0.000982050737617622,0.0006048227410733774,0.0005759944241013703,0.000572805509820752,0.0011854228674010251,0.0006177140979259945,0.0009306510229781107,0.0009612706163755853
2017-02-24,0.0007144505296203083,0.0015723487117160254,0.0007256535685506058,0.0007195682807403931,0.0007143365086960652,0.0007002660811302472,0.0004259735598536201,0.0009784530541963798,0.0013541332058494518
2017-02-27,-0.000917690740392672,-0.0010193149796854392,-0.0009451293058363623,-0.0009212517174558584,-0.000917770307447711,0.0002560329967353342,-0.0008144323088358858,-0.0010650446551628207,-0.0004953126388972578
2017-02-28,-0.0005182984373155957,-0.0007086419932358864,-0.0004926823308327596,-0.0005166552155218378,-0.0005180845601981278,-0.0022631115943019795,-0.0004741214593739829,-0.0004611398189782206,-0.0013816200535005862
2017-03-01,-0.0008625076294541332,-0.0006038084953306133,-0.0009457838373413599,-0.0008735356875800368,-0.000863645742379848,0.006949227265229049,-0.00015462972196964928,-0.0009517821991939735,0.0028448867276696967
2017-03-02,-0.001391284186213495,-0.0027116151672800706,-0.001382688909614119,-0.001393027662927677,-0.0013903993729715307,-0.008166622039157809,-0.001868546230953456,-0.0021251681086893533,-0.004845140813453452
2017-03-03,0.0003016659458674351,0.0005772749515254744,0.00031128024272803503,0.0003035984844800375,0.00030195647445379074,0.0019615051515626675,0.0005112056455602535,0.0006725601738254338,0.0011056427730973784
2017-03-06,-8.28859435086594e-07,-0.0008834149286848071,1.602472740511329e-05,-1.736988178801514e-06,-4.217261050508091e-07,-0.0033095932524392414,-0.00018601527184303925,-0.00044317960724720384,-0.0020275713538398733
2017-03-07,-0.0006359445154002839,-0.0017215705871520713,-0.0006383843107208462,-0.0006376157854733334,-0.0006299688343140717,-0.003864771194360224,-0.0010857269249459505,-0.0005831147265521397,-0.002674529545784306
2017-03-08,-0.0011639535903463988,-0.0027039077304447374,-0.0012033280414829755,-0.0011568513853125399,-0.0011884654769163945,-0.0071177042550428235,-0.0017167108246725876,-0.0008726894914361798,-0.004054491418009885
2017-03-09,-0.00040988971317227935,-0.0015920209977865044,-0.00043517879240071204,-0.0004226084575335664,-0.0004233443538169164,-0.0024865191590167767,-0.0006876004235227669,-9.497859971797669e-05,-0.001807684731617912
2017-03-10,0.0007244492131217485,0.0011831646790570435,0.0007007963028956644,0.0007168937716047487,0.0006943999071247965,0.0027730796493307223,0.0007918079070960011,0.0005551785324484219,0.002148172942595945
2017-03-13,-0.0005729227762224559,-0.0008804004991279559,-0.0006033508829512824,-0.0005921670352461286,-0.0005998700265812817,0.001274721349427522,-0.0007769016188419398,-0.0004632436825054224,0.00014371783158829987
2017-03-14,-0.00021926795500401037,-0.0006204005388670094,-0.00020855585252959192,-0.0002107701374989688,-0.0002055497106544451,-0.003887381104671912,-0.00028801403026134975,-0.00020013928453267553,-0.002031094492994336
2017-03-15,0.0025701369849378164,0.005420993632897929,0.002575420565182322,0.0025538864559923333,0.002545419207608858,0.012349468023451922,0.0037723065069455433,0.0019017405796220184,0.00842476731998318
2017-03-16,-0.0007849721895991361,-0.0011150075338173739,-0.0008150726303244056,-0.0008094446639979471,-0.0008116118092755605,-0.0009128709964773572,-0.0009854069704180843,-0.0007145552951749651,-0.0010482415776052337
2017-03-17,0.0005891751195452067,0.0011188795715690104,0.0005892577164531102,0.0005746435778518576,0.0005832426920330016,0.0012014886414919437,0.00046457199147854867,0.00020559982735220052,0.001134260940458446
2017-03-20,0.0006216366162545826,0.0007724339480761372,0.0006260245797846519,0.0006058343346997723,0.0006235976782813928,-7.336278463964953e-05,0.00041897966801805097,0.00035989793123070564,0.00034952621641261804
2017-03-21,0.0003819860130918688,-0.0001337082012837801,0.00036216182303182976,0.00030751357781844276,0.00036670213366947404,-0.007299179120257371,-0.0006586539394982437,-0.00027744110871326887,-0.003592746078942371
