rebal,K,C
0,10,1.5
1,5,1.5
2,8,0.75
3,4,0.75
4,4,1.0
5,5,0.75
6,1,1.5
7,1,1.5
8,5,0.75
9,2,1.0
10,2,1.0
11,2,1.0
12,2,1.5
13,2,1.0
14,3,1.0
15,4,0.75
16,8,1.0
17,10,1.5
18,8,0.75
19,5,0.75
20,8,1.0
21,5,1.5
22,3,1.5
23,3,1.5
24,2,1.0
25,6,1.0
26,6,1.0
27,5,1.0
28,5,1.0
29,3,1.0
30,10,1.5
31,8,1.5
32,10,1.5
33,10,1.5
34,1,1.5
35,1,1.5
36,2,1.5
37,2,1.5
38,4,0.75
39,8,0.75
40,3,1.0
41,6,0.75
42,3,0.75
43,3,0.75
44,10,1.5
45,6,1.5
46,10,0.75
47,10,0.75
48,2,0.75
49,4,0.75
50,2,0.75
51,8,0.75
52,8,0.75
53,2,0.75
54,3,1.0
55,3,1.0
56,2,1.0
57,1,1.0
58,1,1.0
59,1,1.0
60,1,1.0
61,4,1.5
62,1,1.0
63,1,1.5
64,5,0.75
65,6,0.75
66,6,0.75
67,8,1.0
68,10,1.0
69,10,0.75
70,8,1.0
71,8,1.5
72,10,1.5
73,10,1.5
74,10,1.0
75,10,1.0
76,10,0.75
77,10,0.75
78,5,0.75
79,10,0.75
80,10,0.75
81,1,1.0
82,6,1.5
83,8,1.0
84,5,1.0
85,6,1.0
86,10,1.0
87,6,1.5
88,2,1.5
89,3,1.0
90,5,1.0
91,10,0.75
92,10,1.0
93,10,0.75
94,8,1.5
95,8,1.0
96,5,1.0
97,6,1.0
98,6,1.5
99,4,1.5
100,6,1.5
101,6,1.5
102,5,1.5
103,8,1.0
104,8,0.75
105,6,1.0
106,6,1.0
107,3,1.0
108,3,1.5
109,2,1.5
110,1,1.5
111,1,1.5
112,2,1.5
113,2,1.5
114,2,1.5
115,2,0.75
116,2,0.75
117,10,1.0
118,10,1.0
119,10,0.75
120,10,1.0
121,6,0.75
122,8,1.0
123,3,1.5
124,10,1.0
125,6,0.75
126,3,0.75
127,5,1.5
128,8,1.5
129,10,1.0
130,5,1.0
131,10,0.75
132,4,1.0
133,4,1.0
134,8,1.0
135,2,1.0
136,4,1.0
137,4,1.0
138,4,1.0
139,3,1.0
140,6,0.75
141,10,0.75
142,8,1.0
143,10,1.5
144,1,1.5
145,6,1.5
146,10,1.5
147,10,1.0
148,10,0.75
149,10,1.0
150,10,0.75
151,10,0.75
152,8,0.75
153,10,0.75
154,6,0.75
155,6,0.75
156,6,0.75
157,5,0.75
158,1,1.5
159,4,1.0
160,2,1.0
161,4,0.75
162,10,1.0
163,2,1.5
164,8,1.5
165,4,1.0
166,2,1.5
167,3,1.5
168,10,1.0
169,5,1.0
170,10,1.0
171,10,1.0
172,5,1.5
173,4,1.5
174,8,1.0
175,5,1.0
176,10,1.0
177,8,1.0
178,10,0.75
179,6,1.5
180,10,1.0
181,8,1.0
182,10,0.75
183,8,1.0
184,5,1.0
185,10,1.0
186,10,1.0
187,10,1.0
188,10,1.0
189,3,1.0
190,3,1.0
191,10,1.5
192,4,1.0
193,10,1.0
194,4,1.5
195,4,1.5
196,6,1.0
197,5,1.5
198,6,1.5
199,8,1.0
200,8,1.5
201,4,1.5
202,10,1.0
203,3,1.5
204,6,1.0
205,3,1.0
206,3,1.5
207,4,1.5
208,6,0.75
209,6,0.75
210,8,1.0
211,10,1.0
212,3,1.0
213,10,1.0
214,10,1.0
215,10,1.0
216,6,1.0
217,10,1.0
218,10,1.5
219,10,1.5
220,10,1.5
221,10,1.0
222,8,1.5
223,10,1.5
224,10,1.5
225,10,1.0
226,10,1.0
227,6,1.0
228,5,0.75
229,10,0.25
230,2,0.5
231,1,0.75
232,1,0.75
233,10,1.5
234,10,1.5
235,4,1.5
236,6,1.5
237,4,1.5
238,4,1.5
239,2,1.5
240,4,1.5
241,3,1.5
242,8,0.75
243,8,1.0
244,10,1.0
245,8,1.5
246,10,1.5
247,8,1.0
248,4,1.0
249,8,1.5
250,6,1.5
251,6,1.5
252,4,1.5
253,6,1.0
254,6,1.0
255,8,1.0
256,10,0.75
257,5,1.5
258,1,1.5
259,1,1.5
260,1,1.5
261,6,1.0
262,10,1.5
263,10,1.5
264,10,1.0
265,1,1.5
266,8,1.0
267,10,1.0
268,8,1.0
269,8,1.0
270,10,1.0
271,6,1.0
272,4,1.0
273,8,1.0
274,10,1.0
275,8,0.75
276,10,1.0
277,8,1.0
278,4,1.0
279,4,1.0
280,5,1.5
281,3,1.5
282,5,1.0
283,1,1.5
284,6,1.5
285,8,1.0
286,6,1.5
