date,HMVA,HRP,GMV,EW,SPY-K
2002-01-08,-0.007437675739804274,-0.004248404611526729,-0.006239808599790141,-0.00457924,-0.003000870966286619
2002-01-09,-0.009181814846646649,-0.004111865960885915,-0.00922366337997296,-0.004642539888619563,-0.005190454750445913
2002-01-10,0.007293401330337594,0.0011251668987071082,0.0039400839523382174,-0.001345841814130444,0.001992632905577825
2002-01-11,0.014677675940229758,-0.004658117677904156,-0.006735894208174732,-0.009017084409694292,-0.009750101410133698
2002-01-14,0.006513622987403019,-0.0028966933378248264,-0.002544613935184457,-0.008159615416231973,-0.005230396073183081
2002-01-15,-0.003311761918565549,0.008121887148570994,0.013117140670092016,0.0063238257160131974,0.007401945804594011
2002-01-16,-0.001331574431032788,-0.010049551159883286,-0.007176523416728785,-0.017208333800092852,-0.016336074260251705
2002-01-17,-0.0024419351863481883,0.004800832286270184,0.006081524070042858,0.00849663084451566,0.01075594706311284
2002-01-18,-0.0021834683773017784,-0.0037529706911705375,-0.00522297016003273,-0.007608365602991606,-0.010840124640885596
2002-01-22,0.011200389653898336,0.0008342541502765899,-0.005364359396364483,-0.006272068634291456,-0.0076090017712890715
2002-01-23,0.01377380674330682,0.003982561551580788,0.010276349605580559,0.006924103964327716,0.0056584135711212095
2002-01-24,-0.02226465329976524,-0.0024861660426918042,-0.004367959056290717,0.004437573761811929,0.0016812964787574854
2002-01-25,-0.008457486065622561,-4.964495524346248e-06,-0.0009099012973062039,0.0009798942357865262,0.00010902224962664008
2002-01-28,0.0018283969574414913,-0.000632546069394833,0.005321820555090214,-0.000685408523504882,-0.0006583208186975619
2002-01-29,-0.012253172462357837,-0.02449499709641908,-0.02149786368084142,-0.031332651222487615,-0.03112861732937618
2002-01-30,0.021503687977855852,0.011560129700535625,0.00591867648754445,0.012235623010627113,0.012464875172898019
2002-01-31,0.02382244301675006,0.01358077043547903,0.008753101748202957,0.015986318378805195,0.014921854923201808
2002-02-01,-0.0060041483598826315,-0.003113801454992789,-0.004879419934677798,-0.008314588346451678,-0.008100129759540328
2002-02-04,-0.014210921067591724,-0.018901673852525138,-0.021905338482955415,-0.025436223233626022,-0.02611203114656809
2002-02-05,0.010145056356421408,-0.0023968315131150256,-0.006741763464721032,-0.006930703624901848,-0.0029186292960220574
