,AnnReturn,AnnVol,Sharpe,MaxDD,Calmar,Turnover,SharpeStab,Sortino,Omega,VaR95,CVaR95,Skew,Kurt,HitRate
HMVA,0.13692199227585955,0.16938223124540394,0.8083610144294567,-0.3419932129567883,0.40036464785972226,0.999041863996002,0.11311755105506292,1.0597860745772125,1.1742122470306027,-0.014935837846519194,-0.0243734325875897,-0.02782497988366608,14.546009004624633,0.5370786516853933
HRP,0.09636041218411706,0.15930467629569806,0.6048812528594882,-0.4216317154224538,0.22854166007784488,0.31470518215962495,0.10998616568681306,0.7627897017816536,1.1339088912404678,-0.014853383545104277,-0.023821422574477908,-0.13039192135586272,13.772396732472185,0.5443388072601556
GMV,0.07850634968414982,0.14434925906773485,0.5438638908933455,-0.38618959690737786,0.20328447558616775,0.5576294102077742,0.1200133482603115,0.6635314881937932,1.1217331839800881,-0.012705418418335572,-0.021518925054197124,-0.5393311994899519,20.085326133426463,0.545894554883319
EW,0.08982595160272866,0.1882416298816008,0.47718430646412746,-0.5520665309811985,0.16270856239569398,0.05687272727272727,0.11171265852279055,0.5960707776817384,1.1119736902421578,-0.017778377097755933,-0.028631714560749186,-0.18390785011363062,11.651764020974252,0.5452031114952464
SPY-K,0.09509053230523845,0.18906384755663003,0.5029546025543361,-0.5232526005031034,0.1817296888994142,0.06562876870731324,0.1122267263683873,0.6351845904570664,1.1162190976871975,-0.017949922111278247,-0.02865709568665508,-0.12665974625289106,10.54692840892995,0.5434745030250648
