rebal,K,C
0,2,1.5
1,2,1.5
2,2,1.5
3,2,0.75
4,3,0.75
5,8,1.0
6,8,0.75
7,8,1.0
8,10,1.5
9,10,1.5
10,4,1.5
11,4,1.5
12,2,0.75
13,2,1.5
14,2,1.5
15,3,1.0
16,10,1.0
17,8,1.0
18,3,1.5
19,3,1.5
20,3,1.5
21,3,1.5
22,8,1.0
23,8,1.0
24,10,1.0
25,2,1.5
26,2,1.5
27,2,1.5
28,4,0.75
29,2,1.5
30,6,0.75
31,8,1.0
32,8,1.0
33,10,1.5
34,8,1.5
35,3,1.0
36,2,1.5
37,3,1.5
38,5,1.5
39,10,0.5
40,10,0.5
41,8,0.5
42,2,0.75
43,3,1.0
44,2,0.75
45,8,1.5
46,8,1.0
47,5,1.0
48,4,0.75
49,10,1.0
50,10,1.0
51,2,1.5
52,10,1.0
53,10,1.0
54,8,1.0
55,3,1.0
56,10,1.5
57,10,1.5
58,6,1.5
59,4,0.75
60,4,0.75
61,8,1.0
62,10,1.0
63,10,1.0
64,10,1.0
65,10,1.5
66,10,1.5
67,10,1.0
68,10,1.5
69,10,1.5
70,10,1.5
71,10,1.5
72,10,1.0
73,10,1.5
74,5,1.0
75,5,1.0
76,10,0.75
77,10,1.0
78,8,1.5
79,6,1.5
80,5,1.5
81,8,1.0
82,10,0.75
83,10,0.75
84,10,0.75
85,3,0.75
86,3,0.75
87,10,0.75
88,6,1.0
89,6,1.0
90,6,1.5
91,6,1.5
92,5,1.5
93,5,1.5
94,8,0.75
95,10,0.75
96,10,0.75
97,3,1.5
98,3,1.5
99,3,1.5
100,10,0.5
101,3,1.5
102,2,1.5
103,2,1.5
104,2,1.5
105,3,1.5
106,4,1.5
107,4,1.5
108,10,0.75
109,10,1.0
110,8,1.5
111,8,1.0
112,8,1.5
113,10,0.75
114,10,0.75
115,8,1.5
116,10,1.5
117,10,1.5
118,8,1.5
119,10,1.5
120,10,1.5
121,10,1.5
122,10,0.75
123,10,1.0
124,8,1.5
125,8,1.0
126,6,1.0
127,6,1.0
128,5,1.0
129,5,1.0
130,5,0.75
131,5,0.75
132,5,1.0
133,8,1.0
134,6,1.0
135,5,1.0
136,6,1.0
137,8,1.0
138,8,1.0
139,8,1.0
140,8,1.0
141,10,0.75
142,8,1.0
143,10,0.75
144,4,0.75
145,10,1.5
146,8,1.0
147,8,1.0
148,8,1.0
149,8,1.5
150,10,1.5
151,4,1.0
152,4,1.0
153,3,1.0
154,3,1.0
155,2,1.5
156,10,1.0
157,10,0.75
158,3,1.5
159,6,1.5
160,10,1.5
161,5,1.5
162,8,1.0
163,6,1.0
164,5,1.0
165,5,1.0
166,4,1.0
167,5,1.5
168,5,1.5
169,6,1.5
170,10,0.75
171,10,1.0
172,8,0.75
173,8,0.75
174,8,1.0
175,10,0.75
176,8,1.0
177,8,1.5
178,8,1.5
179,10,0.75
180,8,1.0
181,6,1.0
182,5,1.0
183,5,1.0
184,5,1.0
185,8,1.0
186,6,1.0
187,6,1.0
188,6,1.5
189,6,1.5
190,6,1.0
191,6,1.0
192,6,1.0
193,10,0.75
194,10,0.75
195,6,1.0
196,10,0.75
197,6,1.5
198,6,1.5
199,10,1.0
200,10,0.75
201,10,1.0
202,8,1.0
203,8,1.0
204,10,0.75
205,10,0.75
206,10,0.75
207,10,0.75
208,10,0.75
209,8,1.0
210,10,0.75
211,10,1.5
212,10,1.5
213,8,0.75
214,6,0.75
215,8,0.75
216,2,1.5
217,3,0.75
218,10,0.75
219,4,0.75
220,10,0.75
221,10,0.75
222,8,1.0
223,10,1.5
224,5,1.5
225,5,1.5
226,4,1.5
227,4,1.5
228,4,1.5
229,4,1.5
230,4,1.5
231,4,1.5
232,3,1.5
233,3,1.5
234,3,1.5
235,3,1.5
236,3,1.5
237,8,1.0
238,10,1.0
239,8,1.0
240,3,1.5
241,5,1.5
242,6,1.0
243,10,1.0
244,8,1.0
245,8,1.0
246,4,1.5
247,10,0.75
248,10,0.75
249,10,1.0
250,10,1.0
251,10,1.0
252,8,1.5
253,8,1.5
254,8,1.5
255,8,1.0
256,8,1.0
257,8,1.0
258,5,1.0
259,8,1.0
260,5,1.0
261,6,1.0
262,6,0.75
263,10,1.0
264,10,1.0
265,8,1.0
266,10,1.0
267,10,1.0
268,1,1.5
269,1,1.5
270,1,1.5
271,1,1.5
272,1,1.5
273,2,1.5
274,1,1.5
