,AnnReturn,AnnVol,Sharpe,MaxDD,Calmar,Turnover,SharpeStab,Sortino,Omega,VaR95,CVaR95,Skew,Kurt,HitRate
HMVA,0.13730912278698026,0.1705015970661473,0.8053245550169845,-0.347614157044989,0.3950044036014604,1.006283998631117,0.11289784051180947,1.0497656570657656,1.1738628094398762,-0.015045462664129148,-0.024546133335609528,-0.1065603781232558,15.076916198531471,0.5420916162489197
HRP,0.09380115366852682,0.1633010665477699,0.5744062525218565,-0.4177224058466853,0.2245538002166784,0.31725416274160023,0.1079374355477205,0.7271117611642606,1.1279331409588578,-0.015113894802689598,-0.02441786724594128,-0.12728725218202636,13.187646179835667,0.5433016421780467
GMV,0.06965170001249366,0.15084466435070257,0.4617445390747044,-0.37244576712304256,0.18701165689307797,0.421997665525174,0.11688037375442538,0.5787342244645586,1.1053751061297201,-0.013536137243094484,-0.02241487847821364,-0.3830902937400634,17.54546110525871,0.5315471045808124
EW,0.08982595160272866,0.1882416298816008,0.47718430646412746,-0.5520665309811985,0.16270856239569398,0.05687272727272727,0.1117126585227906,0.5960707776817384,1.1119736902421578,-0.017778377097755933,-0.028631714560749186,-0.18390785011363042,11.65176402097425,0.5452031114952464
SPY-K,0.09509053230523845,0.18906384755663003,0.5029546025543361,-0.5232526005031034,0.1817296888994142,0.06562876870731324,0.11222672636838746,0.6351845904570663,1.1162190976871975,-0.017949922111278247,-0.02865709568665508,-0.12665974625289111,10.546928408929954,0.5434745030250648
