date,Bets HRP,HMVA,EW,SPY-K
2002-01-08,-0.005871534530679716,-0.007634583374818603,-0.00457924,-0.003000870966286619
2002-01-09,-0.005958429391995071,-0.010231632249159975,-0.004642539888619563,-0.005190454750445913
2002-01-10,-0.0005727520088244244,0.00860913308749749,-0.001345841814130444,0.001992632905577825
2002-01-11,-0.007293692045324555,0.014073493895217446,-0.009017084409694292,-0.009750101410133698
2002-01-14,-0.00433183012374827,0.007449245799616046,-0.008159615416231973,-0.005230396073183081
2002-01-15,0.007303699561445459,-0.0016709983531184203,0.0063238257160131974,0.007401945804594011
2002-01-16,-0.012102479356183249,-0.00022471800395166042,-0.017208333800092852,-0.016336074260251705
2002-01-17,0.006379282376029518,-0.0027481986294688025,0.00849663084451566,0.01075594706311284
2002-01-18,-0.005967869368848824,-0.002195884006993628,-0.007608365602991606,-0.010840124640885596
2002-01-22,-0.0031598372841150977,0.010477584717286577,-0.006272068634291456,-0.0076090017712890715
2002-01-23,0.007257284086276748,0.01257021888566409,0.006924103964327716,0.0056584135711212095
2002-01-24,0.0002699454608577829,-0.0203092934672909,0.004437573761811929,0.0016812964787574854
2002-01-25,0.0009101698605364345,-0.008780910817780662,0.0009798942357865262,0.00010902224962664008
2002-01-28,0.0002704836666519952,0.0010448271708234406,-0.000685408523504882,-0.0006583208186975619
2002-01-29,-0.025279298661391204,-0.012689754650575095,-0.031332651222487615,-0.03112861732937618
2002-01-30,0.01064508151462102,0.020242135051699105,0.012235623010627113,0.012464875172898019
2002-01-31,0.015486517892035588,0.024523409521949348,0.015986318378805195,0.014921854923201808
2002-02-01,-0.005307647606818062,-0.005648094840385845,-0.008314588346451678,-0.008100129759540328
2002-02-04,-0.02066654015808521,-0.015898305733806305,-0.025436223233626022,-0.02611203114656809
2002-02-05,-0.004413869393960649,0.009049619100208649,-0.006930703624901848,-0.0029186292960220574
2002-02-06,-0.005008371676934195,-0.0017172285861641273,-0.00699082046130856,-0.004782791699731023
2002-02-07,0.003944024700184211,0.009812177980784468,0.0026057800000000002,-0.0017911599755018742
2002-02-08,0.013721039171905243,0.018708127249559198,0.017116038838186236,0.015387362612753067
2002-02-11,0.009107695103509022,0.04135916705716864,0.013848651535471032,0.013247037899187294
2002-02-12,-0.0030366374041793194,0.010413365751230735,-0.004701320463078276,-0.004051843616450181
2002-02-13,0.00742482306893003,-0.006275649898767637,0.010929592403397933,0.010314003626976315
2002-02-14,-0.001181388592998012,0.00038199348589040036,-0.002837218375392857,-0.0013931963859013978
2002-02-15,-0.004785855956237141,0.013690136817115641,-0.01042028908988121,-0.01243408968061779
2002-02-19,-0.014480893199541489,-0.01941264883929943,-0.01951925081596212,-0.018281329461716542
2002-02-20,0.014066826034687268,0.022382681106753753,0.014566939926417482,0.014720614367083268
2002-02-21,-0.010369326730890574,-0.02626516497178754,-0.013909082135423205,-0.01663333509899929
2002-02-22,0.01151899201473379,0.017392915113274544,0.008466270149083285,0.009638947015689955
