Price,Close,Volume
Ticker,SPY,SPY
Date,,
1996-01-02,36.8133544921875,514400
1996-01-03,36.91518783569336,610300
1996-01-04,36.56343078613281,1129700
1996-01-05,36.48939514160156,302400
1996-01-08,36.62822723388672,179900
1996-01-09,35.99879455566406,415500
1996-01-10,35.52671432495117,787700
1996-01-11,35.739601135253906,513200
1996-01-12,35.684059143066406,390400
1996-01-15,35.61002731323242,154200
1996-01-16,36.04507827758789,454600
1996-01-17,35.933998107910156,407600
1996-01-18,36.0543327331543,425600
1996-01-19,36.29499053955078,169800
1996-01-22,36.304264068603516,288200
1996-01-23,36.3875617980957,362200
1996-01-24,36.683780670166016,1506500
1996-01-25,36.55418014526367,298400
1996-01-26,36.868896484375,726300
1996-01-29,37.01702117919922,254800
1996-01-30,37.331764221191406,272100
1996-01-31,37.72050476074219,498000
1996-02-01,37.859378814697266,373900
1996-02-02,37.701995849609375,496200
1996-02-05,38.00746154785156,295300
1996-02-06,38.36848068237305,301600
1996-02-07,38.59064865112305,585100
1996-02-08,39.00719451904297,1526600
1996-02-09,38.99790954589844,804600
1996-02-12,39.294132232666016,626500
1996-02-13,39.210811614990234,1045900
1996-02-14,38.868343353271484,431400
1996-02-15,38.62765884399414,889500
1996-02-16,38.470279693603516,606100
1996-02-20,38.09077453613281,492300
1996-02-21,38.562870025634766,434000
1996-02-22,39.17380142211914,721400
1996-02-23,39.062721252441406,1430400
1996-02-26,38.5073127746582,1408400
1996-02-27,38.386985778808594,601000
1996-02-28,38.21110916137695,865900
1996-02-29,37.84085464477539,914300
1996-03-01,38.44252395629883,1452600
1996-03-04,38.66468811035156,652600
1996-03-05,39.02568817138672,402000
1996-03-06,38.68318557739258,624700
1996-03-07,38.877593994140625,534200
1996-03-08,37.61868667602539,2289900
1996-03-11,38.05374526977539,1511400
1996-03-12,37.757537841796875,1385300
1996-03-13,38.01673889160156,1019300
1996-03-14,38.18333435058594,725600
1996-03-15,38.157676696777344,869200
1996-03-18,38.892215728759766,917600
1996-03-19,38.80852508544922,858300
1996-03-20,38.76203536987305,744300
1996-03-21,38.66904067993164,650800
1996-03-22,38.771331787109375,344500
1996-03-25,38.69695281982422,802400
1996-03-26,38.88289260864258,969400
1996-03-27,38.52958679199219,809600
1996-03-28,38.6783561706543,1001300
1996-03-29,38.492401123046875,457700
1996-04-01,38.93869400024414,773400
1996-04-02,39.0130729675293,638800
1996-04-03,39.0130729675293,288000
1996-04-04,38.98516082763672,934900
1996-04-08,38.31574249267578,2217200
1996-04-09,38.16698455810547,1180900
1996-04-10,37.48825454711914,939500
1996-04-11,37.441776275634766,1276000
1996-04-12,37.915931701660156,411300
1996-04-15,38.2320671081543,484200
1996-04-16,38.3436279296875,429700
1996-04-17,38.25066375732422,525300
1996-04-18,38.30644989013672,818600
1996-04-19,38.399436950683594,885100
1996-04-22,38.69695281982422,828900
1996-04-23,38.81781005859375,225400
1996-04-24,38.6783561706543,699000
1996-04-25,38.855010986328125,475500
1996-04-26,38.93869400024414,563300
1996-04-29,38.93869400024414,219900
1996-04-30,38.910789489746094,184400
1996-05-01,38.99447250366211,561900
1996-05-02,38.32504653930664,1299600
1996-05-03,38.26927185058594,1329300
1996-05-06,38.2320671081543,647500
1996-05-07,38.07400131225586,582100
1996-05-08,38.54818344116211,1694700
1996-05-09,38.52028274536133,593400
1996-05-10,38.9014892578125,925100
1996-05-13,39.48725509643555,867500
1996-05-14,39.72898483276367,632300
1996-05-15,39.6825065612793,466100
1996-05-16,39.766170501708984,514400
1996-05-17,39.98003005981445,427700
1996-05-20,40.24965286254883,788500
1996-05-21,40.19388961791992,352700
1996-05-22,40.57508850097656,1218100
1996-05-23,40.40772247314453,967900
1996-05-24,40.56578826904297,659100
1996-05-28,40.15666961669922,456400
1996-05-29,39.88705062866211,649600
1996-05-30,40.09158706665039,895800
1996-05-31,39.79405975341797,923500
1996-06-03,39.905635833740234,503100
1996-06-04,40.18457794189453,627100
1996-06-05,40.53789520263672,428000
1996-06-06,40.2403678894043,523300
1996-06-07,40.2403678894043,1422800
1996-06-10,40.11019515991211,548800
1996-06-11,40.07300567626953,688700
1996-06-12,39.99861526489258,1120600
1996-06-13,39.99861526489258,1502000
1996-06-14,39.83125686645508,1468200
1996-06-17,39.80336380004883,1101000
1996-06-18,39.47793960571289,718000
1996-06-19,39.65460205078125,552100
1996-06-20,39.62672424316406,1234400
1996-06-21,39.967559814453125,573300
1996-06-24,40.04232406616211,416500
1996-06-25,39.99557876586914,454400
1996-06-26,39.72452163696289,838200
1996-06-27,40.00491714477539,1090500
1996-06-28,40.14511489868164,1060800
1996-07-01,40.490966796875,471300
1996-07-02,40.341400146484375,389400
1996-07-03,40.25730895996094,308300
1996-07-05,39.229129791259766,842900
1996-07-08,39.070228576660156,942000
1996-07-09,39.229129791259766,716300
1996-07-10,39.388038635253906,1132300
1996-07-11,38.593544006347656,1587400
1996-07-12,38.62158203125,1312000
1996-07-15,37.48126983642578,1951300
1996-07-16,37.57474136352539,4141000
1996-07-17,38.02337646484375,1340500
1996-07-18,38.54680633544922,1432500
1996-07-19,38.26640701293945,1216000
1996-07-22,37.98598861694336,519800
1996-07-23,37.49995422363281,1479800
1996-07-24,37.57474136352539,2463400
1996-07-25,37.911224365234375,1989800
1996-07-26,38.11683654785156,642300
1996-07-29,37.69622802734375,1297900
1996-07-30,38.060752868652344,1868200
1996-07-31,38.34117126464844,767100
1996-08-01,38.97675704956055,1168600
1996-08-02,39.817989349365234,1098500
1996-08-05,39.58433532714844,710200
1996-08-06,39.705833435058594,640000
1996-08-07,39.80864715576172,917800
1996-08-08,39.74320983886719,925100
1996-08-09,39.612361907958984,648800
1996-08-12,39.902122497558594,764200
1996-08-13,39.58433532714844,805200
1996-08-14,39.72452163696289,533800
1996-08-15,39.649742126464844,632600
1996-08-16,39.986228942871094,475100
1996-08-19,40.00491714477539,436400
1996-08-20,39.97689437866211,645700
1996-08-21,39.836700439453125,266400
1996-08-22,40.2105598449707,584800
1996-08-23,39.99557876586914,757100
1996-08-26,39.79929733276367,784700
1996-08-27,39.948848724365234,389400
1996-08-28,39.883419036865234,227600
1996-08-29,39.490840911865234,680200
1996-08-30,39.07957077026367,1500900
1996-09-03,39.331947326660156,1782000
1996-09-04,39.36936569213867,930200
1996-09-05,38.892642974853516,616600
1996-09-06,39.44410705566406,804900
1996-09-09,39.91145706176758,719200
1996-09-10,39.892765045166016,669900
1996-09-11,40.117095947265625,713500
