,AnnReturn,AnnVol,Sharpe,MaxDD,Calmar,Turnover,EffN,SharpeStab,Sortino,Omega,VaR95,CVaR95,Skew,Kurt,HitRate
HMVA,0.10868767958166625,0.17651617140773793,0.6157378030288602,-0.31079900639121993,0.3497040767397276,0.781553000161805,4.268045904105006,0.11080048984753722,0.8011661620061764,1.13421557647358,-0.01600594776511386,-0.025374057303420808,-0.15157615782056263,16.274263256931242,0.5396717983420741
HMVA-mv,0.08663859165770127,0.1492096943279096,0.5806498836952283,-0.3085352922881035,0.28080609843751697,0.6704915065911323,7.521575302473748,0.11140614150486186,0.7446533631095589,1.1251506119170798,-0.013216783208986404,-0.02168014312798962,-0.319739030286225,16.67652431163474,0.5357807477584166
MVO,0.04691457066934146,0.3112778462627992,0.1507160603704942,-0.6963096793790146,0.06737601394710035,1.489556733704546,1.643247080716273,0.11489743299060004,0.18498963228598295,1.0629245035107735,-0.02797768137876026,-0.046523999178854185,-0.4370134460694436,22.31217178915419,0.5239384198951108
GMV,0.07429129153088887,0.1396054323008407,0.5321518676350354,-0.38092983393887736,0.1950261830707893,0.8856521024828439,22.395500909121445,0.1223625625214727,0.6804228867559222,1.1158639609462395,-0.012828277729832726,-0.020534979352138962,-0.07251536239430866,16.42605774900809,0.5401793266790729
HRP,0.07874321018625752,0.158059540535836,0.49818701180144503,-0.43502593068650375,0.181008083959489,0.4002040815469203,62.22642384443219,0.11149663207834164,0.6270248475723499,1.1124059542258948,-0.014843648311342373,-0.023763552179955145,-0.13399220083046248,13.081063817934918,0.5435628489257317
EW,0.06634642578829797,0.19251986318537495,0.34462119747308273,-0.5542101627511122,0.11971347739087417,0.10052767547081261,100.0,0.11238679172900698,0.4371093307523643,1.085314961445233,-0.018508274251388637,-0.029093161860927873,-0.1549501876554831,10.559970600684823,0.5408560311284046
SPY-100,0.06321751416594679,0.19292125107387895,0.3276855909551287,-0.5519950323236422,0.11452551284715456,0.026520701402587325,53.10524978364396,0.11409351008078789,0.4194861794267899,1.0817652912630336,-0.018697788871522687,-0.029123811741941393,-0.09545981460334696,9.706974097179689,0.5362882760954153
