strategy,mean_dSharpe,median_dSharpe,pct_positive,mean_dSortino,mean_sharpe,mean_sortino,mean_calmar,mean_max_dd,mean_var95,mean_hit_rate,mean_turnover,n_cells
EW,0.0,0.0,0.0,0.0,0.4467668120582614,0.5603235017224079,0.15263064249816163,-0.5525331097149011,-0.01791534085253495,0.5439256678314325,0.05683357617991765,8
HMVA,0.2872332976967767,0.2926691522655016,1.0,0.3979355780477975,0.734000109755038,0.9582590797702054,0.3599447657003989,-0.3473610962552749,-0.015093383113338105,0.5377084040522797,1.0075269425253868,8
SPY-K,0.02616458322921396,0.026206624387502847,1.0,0.039257608489763576,0.47293139528747535,0.5995811102121715,0.17139204335359562,-0.5234533601620561,-0.01814107452889359,0.5421530209344307,0.06624326186325763,8
