rebal,K,C
0,2,0.75
1,3,0.75
2,8,1.5
3,8,1.0
4,10,1.5
5,8,1.5
6,8,1.5
7,8,1.5
8,8,1.5
9,2,1.5
10,3,1.5
11,3,1.5
12,3,1.5
13,3,1.5
14,3,1.5
15,3,1.5
16,3,1.5
17,3,1.5
18,3,1.5
19,3,1.5
20,3,1.5
21,3,1.5
22,4,1.5
23,4,1.5
24,4,1.5
25,4,1.5
26,5,1.5
27,5,1.5
28,5,1.5
29,5,1.5
30,3,1.5
31,3,1.5
32,3,1.5
33,6,1.5
34,5,1.5
35,2,1.5
36,2,1.5
37,2,1.5
38,4,1.5
39,5,0.75
40,5,0.75
41,4,1.0
42,10,1.0
43,2,1.0
44,1,1.0
45,1,1.5
46,1,1.5
47,1,1.5
48,1,1.5
49,3,1.5
50,3,1.5
51,3,1.0
52,3,1.0
53,10,1.5
54,10,1.5
55,10,1.5
56,10,1.5
57,10,1.5
58,10,1.5
59,10,1.5
60,10,1.5
61,10,1.5
62,10,1.0
63,10,1.5
64,10,1.0
65,8,1.0
66,10,0.75
67,3,1.0
68,10,0.75
69,10,1.5
70,10,1.5
71,8,1.0
72,8,0.75
73,10,0.75
74,4,0.75
75,10,0.5
76,10,0.5
77,10,0.75
78,8,0.5
79,10,0.75
80,8,1.0
81,5,1.0
82,6,1.0
83,8,1.0
84,10,1.0
85,2,1.5
86,2,1.5
87,2,1.5
88,2,1.5
89,2,1.5
90,3,1.5
91,3,1.5
92,3,1.5
93,6,0.5
94,3,1.5
95,5,1.5
96,5,1.5
97,6,1.5
98,6,1.5
99,6,1.5
100,6,1.5
101,6,1.5
102,6,1.5
103,2,1.5
104,2,1.5
105,6,1.5
106,8,0.75
107,8,0.75
108,10,1.5
109,10,1.5
110,10,1.5
111,10,1.5
112,10,1.5
113,8,1.0
114,8,1.0
115,6,0.75
116,8,1.0
117,8,0.75
118,10,0.75
119,10,0.75
120,8,0.75
121,10,0.75
122,10,0.75
123,10,0.75
124,10,0.75
125,10,1.0
126,8,1.0
127,8,1.0
128,8,1.0
129,8,1.0
130,8,1.0
131,8,1.0
132,5,1.0
133,5,1.5
134,5,1.5
135,4,1.5
136,2,1.5
137,2,1.5
138,4,1.5
139,4,1.0
140,4,0.75
141,4,1.0
142,4,1.0
143,4,0.75
144,4,1.0
145,5,0.75
146,5,0.75
147,10,0.75
148,10,0.75
149,10,0.75
150,8,0.75
151,8,0.75
152,8,0.75
153,1,0.75
154,10,0.5
155,6,0.5
156,5,0.75
157,5,0.75
158,5,0.75
159,5,0.75
160,5,0.75
161,8,0.5
162,8,0.5
163,10,0.75
164,10,0.75
165,10,1.0
166,10,1.0
167,10,0.75
168,10,1.0
169,10,1.0
170,8,1.5
171,8,1.5
172,6,1.5
173,6,1.5
174,5,1.5
175,4,1.5
176,5,1.0
177,8,1.5
178,8,0.75
179,5,1.0
180,6,0.75
181,6,0.75
182,5,0.75
183,2,1.5
184,5,1.0
185,6,1.0
186,5,1.0
187,8,0.75
188,6,0.75
189,10,0.75
190,5,1.0
191,5,1.5
192,4,1.0
193,5,1.0
194,5,1.0
195,5,0.75
196,6,1.0
197,8,0.75
198,4,1.0
199,10,0.75
200,10,0.75
201,10,1.0
202,10,1.0
203,10,1.5
204,10,1.5
205,6,0.5
206,6,0.5
207,6,0.5
208,6,0.5
209,3,0.5
210,6,0.5
211,8,0.5
212,8,0.5
213,10,0.5
214,10,0.5
215,10,0.5
216,3,1.5
217,10,1.5
218,10,1.5
219,10,1.5
220,10,1.5
221,10,1.5
222,6,1.5
223,10,1.0
224,4,1.5
225,4,1.5
226,10,1.0
227,8,1.0
228,10,1.0
229,8,1.0
230,8,1.0
231,3,1.5
232,3,1.5
233,6,1.5
234,8,1.0
235,3,1.5
236,3,1.5
237,3,1.5
238,3,1.5
239,10,1.0
240,10,1.0
241,6,1.5
242,10,1.0
243,10,1.0
244,6,1.0
245,6,1.0
246,10,1.0
247,10,1.0
248,10,0.75
249,10,0.75
250,10,0.75
251,10,1.0
252,8,0.75
253,6,1.0
254,10,1.0
255,6,1.0
256,8,1.0
257,10,0.75
258,10,0.75
259,10,0.75
260,10,1.0
261,6,1.0
262,10,1.0
