date,HMVA,HRP,MVO,EW,SPY-K
2002-01-08,-0.007972894781422423,-0.0026740005287331416,-0.001995430498642824,-0.00457924,-0.003000870966286619
2002-01-09,-0.010856294268959815,-0.0035787138414167447,-0.0013788180622144903,-0.004642539888619563,-0.005190454750445913
2002-01-10,0.009725874405364774,0.0027532950989330434,0.00308601687230307,-0.001345841814130444,0.001992632905577825
2002-01-11,0.016636528573257273,-0.002420592378980287,0.00562968268907858,-0.009017084409694292,-0.009750101410133698
2002-01-14,0.00913772168723315,-0.0001254980592826697,0.01091063209666411,-0.008159615416231973,-0.005230396073183081
2002-01-15,-0.002521297460090472,0.007672740622138894,-0.01730281974045768,0.0063238257160131974,0.007401945804594011
2002-01-16,0.0015962086197452165,-0.0077609958284776525,-0.002801291491961112,-0.017208333800092852,-0.016336074260251705
2002-01-17,-0.003929925508530913,0.004181359455599526,-0.003709784086269925,0.00849663084451566,0.01075594706311284
2002-01-18,-0.0016195946181531077,-0.003689152908128078,-0.0018018381096304473,-0.007608365602991606,-0.010840124640885596
2002-01-22,0.012250051412453897,0.002214508959282367,0.003282984142885581,-0.006272068634291456,-0.0076090017712890715
2002-01-23,0.013159702503056687,0.004406224549148306,-0.0018462528261125495,0.006924103964327716,0.0056584135711212095
2002-01-24,-0.02286582931146641,-0.004731216221580197,-0.014098948053778738,0.004437573761811929,0.0016812964787574854
2002-01-25,-0.00981674730398552,7.367087597153469e-05,0.0037486541162944824,0.0009798942357865262,0.00010902224962664008
2002-01-28,0.0012312099915734276,-0.0003538279558885927,0.005480131175156481,-0.000685408523504882,-0.0006583208186975619
2002-01-29,-0.010690912574558124,-0.022885748702115735,-0.0023932367653569544,-0.031332651222487615,-0.03112861732937618
2002-01-30,0.021079576253329502,0.011521371222079248,0.011370365000428977,0.012235623010627113,0.012464875172898019
2002-01-31,0.025412473478006226,0.013655993548635902,-0.002827023480069603,0.015986318378805195,0.014921854923201808
2002-02-01,-0.005374015722762612,-0.0025254214245805243,0.0028852702073605303,-0.008314588346451678,-0.008100129759540328
2002-02-04,-0.01491710245976658,-0.017359431118606005,0.006701606947506832,-0.025436223233626022,-0.02611203114656809
2002-02-05,0.01067419553569357,-0.000920422521592121,0.002155893864508278,-0.006930703624901848,-0.0029186292960220574
2002-02-06,-0.0011880878134456674,-0.009626850837964288,-0.01698295782258388,-0.00699082046130856,-0.004782791699731023
2002-02-07,0.001840513568503753,0.001335912257581717,0.0049930421157343904,0.0026057800000000002,-0.0017911599755018742
2002-02-08,0.01044163288939639,0.00930852843644817,-0.012680547462262954,0.017116038838186236,0.015387362612753067
2002-02-11,0.03156292506545376,0.008354887833009387,0.006369988892032655,0.013848651535471032,0.013247037899187294
2002-02-12,0.0090836801949585,0.0011913398264364475,-0.0014142144419458929,-0.004701320463078276,-0.004051843616450181
2002-02-13,-0.004126373654610098,0.007497388853101203,-0.00013792784832278413,0.010929592403397933,0.010314003626976315
2002-02-14,0.002647235935682176,-0.002137931978400571,-0.007454476660222482,-0.002837218375392857,-0.0013931963859013978
2002-02-15,0.0075946009700156025,-0.002355577094609167,0.006987335614128536,-0.01042028908988121,-0.01243408968061779
2002-02-19,-0.017897824412401713,-0.013447398069434428,-0.01179611259527203,-0.01951925081596212,-0.018281329461716542
2002-02-20,0.018579245761316546,0.01451061671863122,0.015068373067807428,0.014566939926417482,0.014720614367083268
2002-02-21,-0.022696178500270992,-0.008816303884800675,-0.0031342561315237947,-0.013909082135423205,-0.01663333509899929
2002-02-22,0.015003732214626343,0.011670405418731872,0.024364206326645394,0.008466270149083285,0.009638947015689955
2002-02-25,0.0018128358608281905,0.011961595142358648,-0.0020474541001520375,0.021458033797441413,0.018805550953963576
2002-02-26,-0.012351678682054768,-0.0028059737485399035,-0.006197382151289561,-0.0019038476125518254,-0.0024319226983379842
2002-02-27,0.003793912634052533,0.002056569576659976,0.001717268454317517,0.0010126791152091671,0.001553149583285319
2002-02-28,0.0036643260964993253,-0.0011455045997112532,0.004040122103483687,-0.0032193754803808657,-0.0019117090056102665
2002-03-01,0.014467508132832766,0.015489979908539907,0.00031811041515629674,0.02086220837915312,0.02358534714530805
2002-03-04,0.00917065703737879,0.00401987213318484,-0.0006062948949639156,0.019561743363932363,0.016887470774167385
2002-03-05,-0.01326026281284522,-0.009051638433471445,0.006149372244483855,-0.008392236328314762,-0.008115725606392605
2002-03-06,0.010424493252585817,0.013545245979868129,0.011766648212786538,0.016256385170061085,0.01436028372759024
2002-03-07,0.00813829593088688,-0.003753133173136358,-0.012006604718109614,-0.004699652026720074,-0.005561550019513972
2002-03-08,-0.026549074062375267,-0.00027044311757142247,0.00837869877191247,0.0069837451393555145,0.005805571566255284
2002-03-11,0.0033230330997214863,0.003150013079298914,-0.0012113968208860898,0.0035240000000000002,0.0030035041168363645
2002-03-12,0.0019283180638047426,0.004737918938346498,0.014929664309774524,-0.0004919308618129714,-0.000643080524686595
