date,HMVA-mv,GMV-EK,HRP-E
2000-07-03,0.014488968241033611,0.012101917670901761,0.010585722672919608
2000-07-05,-0.017578967783099114,-0.0059070873110057525,-0.0077111193758467
2000-07-06,0.007811254210029192,0.0052418838642829865,0.004443732570816776
2000-07-07,0.003786530789782368,0.005538107961141129,0.009267651081963493
2000-07-10,0.001485969755649694,0.00047382842694446755,0.0010081976857808312
2000-07-11,0.022717048186473965,0.007908608542041482,0.007891424271647551
2000-07-12,-0.01447942732463365,-0.0014976559024297202,-0.002751089027339588
2000-07-13,-0.007326485256887313,0.001358814851434776,-0.0033581016577502935
2000-07-14,-0.00907012782574092,-0.0006616893452721681,0.003267483206737607
2000-07-17,-0.0020523352665061706,-0.006907299417451891,-0.003959646051942769
2000-07-18,0.001696191598546279,-0.0022403805960302227,-0.003676403389437303
2000-07-19,0.0048210690739116414,0.001974512256972085,0.00025461070780628527
2000-07-20,-0.01346276930265058,-0.0029351246935004384,0.0010326620315099107
2000-07-21,-0.008422403804151022,-0.0066696662559784965,-0.007421579092190257
2000-07-24,-0.008239229049275829,-0.01041142899726323,-0.007035498772429523
2000-07-25,0.0027057542367048774,0.003779830804624231,0.006394288055670998
2000-07-26,0.0005677198209208331,-0.00838344443197208,-0.01072705313542552
2000-07-27,0.028267798180382886,0.007482069999406077,0.007731648311716005
2000-07-28,0.005078003997871838,-0.0032795000666904573,-0.008673179775659234
2000-07-31,-0.011966213181310725,-0.0034619200485746402,-0.002247289648404071
2000-08-01,0.010089431596734054,0.01656644193282018,0.011864771003369377
2000-08-02,0.007478425537738161,0.008685562943681245,0.007992760159665453
2000-08-03,0.00814716700243557,0.0032422574027613942,0.0005314964363370223
2000-08-04,0.00909207891470132,0.00677389488490855,0.007836121698389483
2000-08-07,0.0015932154797181801,0.003997686210893605,0.006122756789842203
2000-08-08,0.005698141868215302,0.007149659892640693,0.003976325051598211
2000-08-09,-0.01955694961558061,-0.018096383706531032,-0.009224225172357456
2000-08-10,-0.0022848073072686075,-0.0042292962575506765,0.00016250527892342398
2000-08-11,0.007949598965455829,0.011273958661358415,0.009691384012788542
