,AnnReturn,AnnVol,Sharpe,MaxDD,Calmar,Turnover,SharpeStab
HRP-Sample,0.012367268324509073,0.1567174971144336,0.0789144068289874,-0.3905210222951967,0.03166863656103153,0.32160368290034136,0.10988123248331193
HRP-LW,0.015996360321467895,0.16250584920762787,0.09843559723828724,-0.3889326606787987,0.041128868667264076,0.23005853472416588,0.11052982142623645
HRP-NLS,0.012941749596463437,0.19057777000115425,0.06790797056962652,-0.43627363401623187,0.02966429457889708,0.007951809177104493,0.10809237750810272
HRP-POET,0.00948078822810361,0.15446619734974978,0.061377753778949794,-0.38454144148501335,0.024654789329053635,0.3145229810498649,0.10996975189495897
HRP-PoetCV,0.015972842187710334,0.1545387326513759,0.1033581802676193,-0.377131082318097,0.042353555399174965,0.33527241686611503,0.10950021698789342
EW,0.012941749596463215,0.19057777000115422,0.06790797056962537,-0.43627363401623187,0.029664294578896574,0.0079518091771041,0.10809237750810262
MinVar-LW,0.038395505391532136,0.13239928294178602,0.2899978348705564,-0.3002346309656838,0.12788499870263353,2.060844769470903,0.12208445909963996
MinVar-NLS,0.012941749596463215,0.19057777000115428,0.06790797056962536,-0.43627363401623187,0.029664294578896574,0.007951809177104089,0.10809237750810291
RP-Sample,0.01841829206998491,0.1776828061576325,0.10365826873335734,-0.4199465059523282,0.04385866249373136,0.06038900173192891,0.10898103449569749
