date,Bets HRP,HMVA,HMVA-0.10,EW,SPY-K
1982-12-30,-0.005876410519962589,-0.001320323249953988,-0.0003451660804367209,-0.007994059999999999,-0.0079129826961398
1982-12-31,0.0018449373223964872,0.0007575957426359796,0.0001978615956047766,0.0021437634668094833,0.0015085273994093539
1983-01-03,-0.014253893111749674,-0.006821554371198385,-0.0017825852144378765,-0.017018546136851897,-0.016844694384808175
1983-01-04,0.016761345426723837,0.013111596972835962,0.0034089818562143843,0.020810028857860808,0.024937591613125868
1983-01-05,0.00196806290986886,0.0061310159888106125,0.0016094624533667542,0.00270546983791477,0.005484693642142051
1983-01-06,0.019892731238581395,0.009495109581287636,0.002503828050559665,0.02372520685357041,0.021263726854542683
1983-01-07,0.00018594922684621283,-0.005248421815547769,-0.001393642657678344,-0.0004803927031411969,-0.001322942646133048
1983-01-10,0.009884597933923394,0.00836949674606968,0.0022138202426874878,0.011855296355127304,0.010201789125286043
1983-01-11,-0.0037774184773402145,0.010641901644974068,0.0028321846368984044,-0.006160336827286049,-0.00800087548817688
1983-01-12,0.005185009931898919,0.0007340605851060436,0.00019688075407577163,0.0064835295682907105,0.00592418400052731
1983-01-13,-0.005466695575242795,0.004764781900469661,0.0012786378924562341,-0.008081062903901563,-0.0064052040994613205
1983-01-14,0.0036449367973803814,-0.0025768689327150154,-0.0006939150828193226,0.006506734119144297,0.006822127736851115
1983-01-17,-0.0012387974834642836,-0.010095691998418007,-0.0027135072985861155,-0.0020903770453274888,0.00046272394356315134
1983-01-18,-0.0020593557466562604,0.005200483331023655,0.0013874325768120082,-0.002495576813992676,-0.0006460638387457728
1983-01-19,-0.006742240917733371,-0.00954947290366144,-0.0025573968835653155,-0.0072178725950444575,-0.006925494541198771
1983-01-20,0.0066721352105696685,0.012475202181288548,0.0033175020285747653,0.008010762159363147,0.008990977948848225
1983-01-21,-0.012048702127958727,-0.0019790171830426687,-0.0005310790580089771,-0.014904063122739234,-0.016687562572110137
