date,HRP,+NLS+EWMA,+VBTree,+BL+Sharpe,HMVA,EW
2002-01-08,-0.0065080618645244155,-0.0026740005287331416,-0.006431164829305667,-0.007960225123312662,-0.007960225123312662,-0.00457924
2002-01-09,-0.00656166212132371,-0.0035787138414167447,-0.009095274532458137,-0.01082279909627225,-0.01082279909627225,-0.004642539888619563
2002-01-10,-0.0013039453566530735,0.0027532950989330434,0.01102524333150972,0.009768707814094361,0.009768707814094361,-0.001345841814130444
2002-01-11,-0.007500990653216621,-0.002420592378980287,0.011894496161657225,0.01654618303231197,0.01654618303231197,-0.009017084409694292
2002-01-14,-0.005887352494142203,-0.0001254980592826697,0.009624339432149517,0.009124547718693659,0.009124547718693659,-0.008159615416231973
2002-01-15,0.0067244456577650056,0.007672740622138894,-0.00257201070089565,-0.0025132090654771296,-0.0025132090654771296,0.0063238257160131974
2002-01-16,-0.013587529441078213,-0.0077609958284776525,0.002874283643373639,0.0015897341455829517,0.0015897341455829517,-0.017208333800092852
2002-01-17,0.006409924700957295,0.004181359455599526,-0.0035424173610137614,-0.0038322335065423263,-0.0038322335065423263,0.00849663084451566
2002-01-18,-0.005858255596748853,-0.003689152908128078,-0.0016303893303246152,-0.0016102102901705043,-0.0016102102901705043,-0.007608365602991606
2002-01-22,-0.002669273741044992,0.002214508959282367,0.008325792382610555,0.01210884104079133,0.01210884104079133,-0.006272068634291456
2002-01-23,0.007996610948133078,0.004406224549148306,0.006313572724792189,0.013078167868986525,0.013078167868986525,0.006924103964327716
2002-01-24,0.0023308312391775244,-0.004731216221580197,-0.015136096502086452,-0.022882915531534067,-0.022882915531534067,0.004437573761811929
2002-01-25,0.0014225988502469008,7.367087597153469e-05,-0.007845528105540407,-0.009762824260461263,-0.009762824260461263,0.0009798942357865262
2002-01-28,3.919766037726779e-05,-0.0003538279558885927,0.00026636364619652656,0.0012642148433818627,0.0012642148433818627,-0.000685408523504882
2002-01-29,-0.0252446780002641,-0.022885748702115735,-0.010004088044542881,-0.010682548147983284,-0.010682548147983284,-0.031332651222487615
2002-01-30,0.009337852904380358,0.011521371222079248,0.01540673521424413,0.020995155575592523,0.020995155575592523,0.012235623010627113
2002-01-31,0.0149291085151493,0.013655993548635902,0.018034099254874387,0.02530287417463024,0.02530287417463024,0.015986318378805195
2002-02-01,-0.005095577895440746,-0.0025254214245805243,-0.0031145116940494836,-0.0053340795725831044,-0.0053340795725831044,-0.008314588346451678
2002-02-04,-0.02223216521607966,-0.017359431118606005,-0.012445555858987297,-0.01492141333627864,-0.01492141333627864,-0.025436223233626022
2002-02-05,-0.0051640146709250045,-0.000920422521592121,0.005408054608079152,0.010573342266335939,0.010573342266335939,-0.006930703624901848
2002-02-06,-0.0037908979247443723,-0.009626850837964288,-0.0033467888282179047,-0.0012204535786386154,-0.0012204535786386154,-0.00699082046130856
2002-02-07,0.005346470662827987,0.001335912257581717,0.007343093260338761,0.013838470581454591,0.00492350949381748,0.0026057800000000002
2002-02-08,0.014370777599827968,0.00930852843644817,0.003569948885517201,0.020443519375854126,0.011608933929511447,0.017116038838186236
2002-02-11,0.007887411593390183,0.008354887833009387,0.018483144088794708,0.04672453654528576,0.03394702866229767,0.013848651535471032
2002-02-12,-0.003602175798028012,0.0011913398264364475,0.007206871929561701,0.012990066821600086,0.01003740148329686,-0.004701320463078276
2002-02-13,0.006632664156008303,0.007497388853101203,-0.003939163820136233,-0.00920715063926805,-0.005222947385879893,0.010929592403397933
2002-02-14,-0.001629103647429369,-0.002137931978400571,-0.00553892221081926,-0.0009684255924979935,0.0007528129610399336,-0.002837218375392857
2002-02-15,-0.005302433580337825,-0.002355577094609167,0.009266120419074809,0.018985015273428447,0.011333739385266455,-0.01042028908988121
2002-02-19,-0.014423751037643892,-0.013447398069434428,-0.011190982338768852,-0.018910839355144857,-0.017613503159185934,-0.01951925081596212
2002-02-20,0.014451892803277983,0.01451061671863122,0.015454497908977278,0.02381023087522707,0.019164901952871197,0.014566939926417482
2002-02-21,-0.011323952111260874,-0.008816303884800675,-0.007557094280211155,-0.02679738776779853,-0.02192919651352242,-0.013909082135423205
2002-02-22,0.010696922226173721,0.011670405418731872,0.018011352105106456,0.019540523117738216,0.01672130489563273,0.008466270149083285
2002-02-25,0.017075879050231158,0.011961595142358648,0.0028882335718978447,0.0014758982522446724,0.0007914874775209476,0.021458033797441413
2002-02-26,-0.00304850178389878,-0.0028059737485399035,-0.008325456960926576,-0.013865981907774624,-0.011783724655121171,-0.0019038476125518254
2002-02-27,0.0018936267793073923,0.002056569576659976,0.0026209294013446755,0.0038834682981835522,0.004812761244085411,0.0010126791152091671
2002-02-28,-0.0030508757563874026,-0.0011455045997112532,0.006410985755774346,0.007689464593832958,0.004859682975557332,-0.0032193754803808657
2002-03-01,0.009670435296763029,0.015489979908539907,0.006870085903856937,0.011396590159130344,0.011582799502058469,0.02086220837915312
2002-03-04,0.010591314342037224,0.00401987213318484,-0.006818175048647416,0.0023471057971439493,0.005259829510007267,0.019561743363932363
2002-03-05,-0.007505237786262964,-0.009051638433471445,-0.008580922526733913,-0.011019383713021861,-0.012707347371657187,-0.008392236328314762
2002-03-06,0.0175514601109024,0.013545245979868129,0.00947949893063813,0.011990297872687704,0.01049467249260863,0.016256385170061085
2002-03-07,-0.003535655460741319,-0.003753133173136358,0.0022576871193849997,0.01531851713106412,0.009208428759417044,-0.004699652026720074
2002-03-08,0.0012636110939518717,-0.00027044311757142247,-0.012031019573748303,-0.04341370995223644,-0.02962357499632963,0.0069837451393555145
2002-03-11,0.003608096374481108,0.003150013079298914,0.00935000877871398,0.019578890279594977,0.005146438461545453,0.0035240000000000002
2002-03-12,0.0025952619454187435,0.004737918938346498,0.007162408348375609,0.0046866528655023195,0.0010633515703001378,-0.0004919308618129714
2002-03-13,-0.00700529244861341,-0.004181468753328001,-0.0006243994872339088,0.0028763105823936697,0.005311173676013271,-0.00932554078721741
2002-03-14,-0.0011989046773733924,0.00012065040902932775,0.005577971810198671,0.009307205422967495,0.004450085900636897,-0.0026993174418135793
2002-03-15,0.01304429348899292,0.012497818816356933,0.007715095002820691,0.003031910375747377,0.008276466032214635,0.013405197202708864
2002-03-18,0.00015481661662315253,-0.0012589273655250054,0.0026635219438444955,0.004959404085141408,-0.0013034112590959606,0.00023057409459900847
2002-03-19,0.0009905191292595198,0.003722938292477187,0.005939747753496951,0.005408810874344914,0.0007421680609268112,0.003068457687328741
2002-03-20,-0.012405887901306306,-0.011123355999454416,-0.000390519444365666,0.00043646878881332566,-0.005046531459488893,-0.0157455917541064
2002-03-21,0.002367671491143696,0.0020635665303142914,-0.000104879590102318,-0.0002570226752647548,-0.0016228984822091602,0.00244535448367959
2002-03-22,-0.004977346803765129,-0.0035773890456864436,-0.0008448228554677614,-0.006522900603375884,-0.0050827511558299045,-0.004583555171981543
2002-03-25,-0.011768611950777007,-0.010941304610848497,-0.003974658772455915,-0.0038185377510747015,-0.0037272820976701356,-0.014667211543960583
2002-03-26,0.00554877262737249,0.00561052361207914,0.00047035627385843767,0.00029789743229509196,0.0029663671902507016,0.0046750506638917645
2002-03-27,0.006190461921658183,0.005609684329994764,0.0116278441900491,0.013875413051460655,0.01022708577047677,0.005679639535610916
2002-03-28,0.001488880424639019,-0.00036031112682649813,0.003355154108023102,0.010921555750508113,0.006103395094465366,0.002226461356039862
2002-04-01,-0.001975106078802918,-0.0019424515045759374,-0.004131048772983956,-0.006378172394603512,-0.009278304694457428,-0.0002909030566964179
2002-04-02,-0.003527794436636262,-0.0019673970671686626,0.005429833774513097,0.012956117590887276,0.00029182500602302535,-0.0063881726402285136
2002-04-03,-0.008242265188355014,-0.007148778860840011,-0.006641386836527351,-0.005699569429762242,-0.00019403385735796864,-0.009972170425792234
2002-04-04,-0.00035931716268293445,0.0003038715034843417,0.00720206375987248,0.004060526259505887,-0.005960367430119295,0.001394555991239737
2002-04-05,-0.0006371911522852135,-0.0005345861454868307,0.0019736541117023358,0.006455924592045372,0.001976712290472534,-0.0012167028918933524
2002-04-08,0.0034402179348608846,0.0026359299532737034,-0.0030674880976602754,-0.004654435616747417,-0.0035254649016024037,0.0023452925429872694
