,AnnReturn,AnnVol,Sharpe,MaxDD,Calmar,Turnover,EffN,SharpeStab,Sortino,Omega,VaR95,CVaR95,Skew,Kurt,HitRate
HMVA,0.10868767958166625,0.17651617140773793,0.6157378030288602,-0.31079900639121993,0.3497040767397276,0.781553000161805,4.268045904105006,0.11080048984753722,0.8011661620061764,1.13421557647358,-0.01600594776511386,-0.025374057303420808,-0.15157615782056263,16.274263256931242,0.5396717983420741
HMVA-noK,0.1058185301827188,0.19876392983236474,0.5323829644139405,-0.32279178263108943,0.3278228749201343,1.3337264839971994,2.5492679726043908,0.11283114883208842,0.6995398156626511,1.1213715061625216,-0.017651828071745004,-0.028789319329166323,0.05142312645279815,19.081397870837385,0.529013703265099
HMVA-noE,0.09422184589327642,0.17461014516667506,0.5396126657092946,-0.3097276659959616,0.30420868471757684,0.521625101274706,3.5478380313231654,0.11629517943091897,0.7016751214331951,1.1199805736414028,-0.015618798560369903,-0.025552626904523767,-0.24094919412300297,11.855812670908323,0.5345965149720859
HMVA-noK-noE,0.10026169761637194,0.19269039084430387,0.5203253632786732,-0.30912833875124257,0.3243368046468659,0.8994347945233858,2.2862957162099353,0.11269421300562103,0.6823869030777288,1.1189788880348555,-0.01703461557035846,-0.028137856860550082,-0.04939963789917172,13.104479630515112,0.5256301810184402
HMVA-mv,0.08663859165770127,0.1492096943279096,0.5806498836952283,-0.3085352922881035,0.28080609843751697,0.6704915065911323,7.521575302473748,0.11140614150486186,0.7446533631095589,1.1251506119170798,-0.013216783208986404,-0.02168014312798962,-0.319739030286225,16.67652431163474,0.5357807477584166
HMVA-mv-noK,0.0862241429032864,0.15606443006254364,0.5524906788095892,-0.32281259355437475,0.26710278540840987,1.0851115064203596,5.597271308740031,0.11157597709650546,0.7092465256348099,1.1198537946946507,-0.014261703152701363,-0.022990560984438465,-0.4411966250274662,14.015819297619288,0.531720521062426
HMVA-mv-noE,0.08148943814977816,0.15451361722060863,0.5273932460815454,-0.35752743424748434,0.2279249935639073,0.4586583952542581,6.216745626219285,0.11114277323637975,0.6768273255024108,1.1156135437056425,-0.013455383568593625,-0.022563574930307397,-0.26718283544177945,15.906462619796752,0.5369649805447471
HMVA-mv-noK-noE,0.08995551558839998,0.1570832312324081,0.5726614794122029,-0.3450022128674436,0.2607389524859732,0.6766791923063559,5.229279644790143,0.11139046987986818,0.7368118034788116,1.1236669717633063,-0.013799105519536368,-0.023068222410562597,-0.4206000773549132,13.398784392891919,0.5300287599390966
