stage,label,sharpe,marginal_delta,cumulative_delta
HRP,HRP (baseline),0.5744062525218565,0.5744062525218565,0.0
+NLS,+NLS (Stage 2),0.5644798901016793,-0.009926362420177193,-0.009926362420177193
+EWMA,+EWMA (Stage 1),0.5939031962929806,0.02942330619130129,0.019496943771124098
+VBTree,+VBTree (Stage 4),0.690790831975807,0.09688763568282643,0.11638457945395053
+BL+Sharpe,+BL+Sharpe (Stages 3+5),0.7289713860410136,0.038180554065206596,0.15456513351915713
+Regime,+Regime λ (Stage 4*),0.7266560520996498,-0.0023153339413638507,0.15224979957779328
HMVA,+L2+L1 (Stage 6),0.8843267259022347,0.15767067380258493,0.3099204733803782
HMVA + Vol Target,+Vol Target  1%,0.9016792042970005,0.017352478394765836,0.32727295177514404
