date,HMVA,HMVA-noK,HMVA-noE,HMVA-noK-noE,HMVA-mv,HMVA-mv-noK,HMVA-mv-noE,HMVA-mv-noK-noE
2000-07-03,0.014604888310346271,0.014604888310346271,0.012558559121307673,0.012558559121307673,0.014488968241033611,0.014488968241033611,0.010748634037911115,0.010748634037911115
2000-07-05,-0.012362789863138782,-0.012362789863138782,-0.035763893194495855,-0.035763893194495855,-0.017578967783099114,-0.017578967783099114,-0.0240992457486453,-0.0240992457486453
2000-07-06,0.005249402613383451,0.005249402613383451,0.01488373887261518,0.01488373887261518,0.007811254210029192,0.007811254210029192,0.010296730706051707,0.010296730706051707
2000-07-07,0.004217176164353378,0.004217176164353378,0.0038664313764152445,0.0038664313764152445,0.003786530789782368,0.003786530789782368,0.0014794825851968427,0.0014794825851968427
2000-07-10,0.0019399383939146218,0.0019399383939146218,-0.0036652586307931462,-0.0036652586307931462,0.001485969755649694,0.001485969755649694,-0.0048177610368914684,-0.0048177610368914684
2000-07-11,0.014860899310518,0.014860899310518,0.029904183596955708,0.029904183596955708,0.022717048186473965,0.022717048186473965,0.02225089302925144,0.02225089302925144
2000-07-12,-0.014085782123714072,-0.014085782123714072,-0.017105218707777984,-0.017105218707777984,-0.01447942732463365,-0.01447942732463365,-0.01544285022126309,-0.01544285022126309
2000-07-13,-0.007788912321948305,-0.007788912321948305,-0.013635435403273189,-0.013635435403273189,-0.007326485256887313,-0.007326485256887313,-0.007040834681198306,-0.007040834681198306
2000-07-14,-0.009494544550292215,-0.009494544550292215,-0.004628556295548173,-0.004628556295548173,-0.00907012782574092,-0.00907012782574092,-0.004879793157995701,-0.004879793157995701
2000-07-17,0.0025899366015513146,0.0025899366015513146,-0.0074975456906069505,-0.0074975456906069505,-0.0020523352665061706,-0.0020523352665061706,-0.005993518952973408,-0.005993518952973408
2000-07-18,0.0030968564208031686,0.0030968564208031686,-0.007642776472156999,-0.007642776472156999,0.001696191598546279,0.001696191598546279,-0.0026665762422273848,-0.0026665762422273848
2000-07-19,0.007936559325391578,0.007936559325391578,0.009155354105776474,0.009155354105776474,0.0048210690739116414,0.0048210690739116414,0.010438597951460333,0.010438597951460333
2000-07-20,-0.01629044183350525,-0.01629044183350525,-0.015972927356253993,-0.015972927356253993,-0.01346276930265058,-0.01346276930265058,-0.009215787735050173,-0.009215787735050173
2000-07-21,-0.003568560687328497,-0.003568560687328497,-0.015350570070013248,-0.015350570070013248,-0.008422403804151022,-0.008422403804151022,-0.011719050283139156,-0.011719050283139156
2000-07-24,-0.005932946014467038,-0.005932946014467038,-0.01417084610163089,-0.01417084610163089,-0.008239229049275829,-0.008239229049275829,-0.013771882345419961,-0.013771882345419961
2000-07-25,0.0008461692406190737,0.0008461692406190737,-0.0023048363194023646,-0.0023048363194023646,0.0027057542367048774,0.0027057542367048774,0.0012515704406936671,0.0012515704406936671
2000-07-26,-0.00287596534501474,-0.00287596534501474,0.00040888579239306354,0.00040888579239306354,0.0005677198209208331,0.0005677198209208331,0.00025322147381421766,0.00025322147381421766
2000-07-27,0.030563985301557673,0.030563985301557673,0.04408734549044815,0.04408734549044815,0.028267798180382886,0.028267798180382886,0.03456595397917704,0.03456595397917704
2000-07-28,0.009539990902452633,0.009539990902452633,0.0008295663686346151,0.0008295663686346151,0.005078003997871838,0.005078003997871838,0.004722085895833511,0.004722085895833511
2000-07-31,-0.012220535202522075,-0.012220535202522075,-0.01385920931254912,-0.01385920931254912,-0.011966213181310725,-0.011966213181310725,-0.009835751036277205,-0.009835751036277205
2000-08-01,0.014080545217346101,0.014080545217346101,-0.0002135106158707069,-0.0002135106158707069,0.010089431596734054,0.010089431596734054,0.003609837506716205,0.003609837506716205
2000-08-02,0.004779617144862969,0.008819368674082529,0.008526728198145279,0.017710221144687312,0.007478425537738161,0.014346533330542971,0.00792039156092093,0.0163539554372257
2000-08-03,0.01210324186782345,0.006745248781895374,0.00047635446500140393,-0.011969536485923553,0.00814716700243557,0.0012277381911129518,6.587281089235409e-06,-0.009424960841455497
2000-08-04,0.010416059107619722,-0.00033240671282427025,0.011423958074769675,0.0017635908876937553,0.00909207891470132,-8.483556782291808e-05,0.010575321903715282,0.00019617656261694985
2000-08-07,-0.0034490591402661685,-0.011937070046095741,0.006959866135893595,0.008336595337250192,0.0015932154797181801,-0.003700476856872404,0.005807460441854342,0.0036472061760406765
2000-08-08,0.00986587595936556,0.010902053094635399,-0.00666472890480435,-0.004903502880226831,0.005698141868215302,0.00632930541725711,-0.003869838349410596,-0.0028049541934474036
2000-08-09,-0.05796887463859302,-0.09028611304184733,0.011885822644017514,0.01634802724316523,-0.01955694961558061,-0.024687520631879067,-0.00014802310135728135,0.001298518010151982
2000-08-10,-0.003555166946243591,0.017529184267588472,0.007360943342431022,0.015385709827243113,-0.0022848073072686075,0.01375232750592571,0.002728553691161096,0.01342325448227376
2000-08-11,0.007800533073220047,0.010776885669074691,-0.0049981630426191555,0.00043260781062788475,0.007949598965455829,0.010088886911640298,-0.0012335370213607355,0.00167569750763406
2000-08-14,0.0069641363119245635,0.0043080232580587925,0.007349011573709286,0.009367205930252049,0.007770092737300498,0.006414514144177061,0.010678100472449742,0.010848971468301855
2000-08-15,-0.011907487526752584,-0.013279842535268723,-0.011885021027946432,-0.010779097860681283,-0.01119737527330663,-0.01040444873728924,-0.009465915418511496,-0.00903476033596038
2000-08-16,3.402212473506423e-05,-0.0012542051557722174,0.014828367114121164,0.019677706434591852,-0.0011598620137322855,0.001755066327276215,0.005999687942692634,0.010896985130755734
2000-08-17,0.0005065245515200305,-0.001933521831157042,0.0020908501515291248,0.01836076865417386,0.0030078657071817725,0.0011621853958975715,0.005801189328487079,0.01517507997584785
2000-08-18,-0.012730820312726161,-0.011349855647730308,-0.01324296680913949,-0.010889841710754605,-0.008886228820062476,-0.007775521176291857,-0.010549351581978832,-0.010011902687400733
2000-08-21,0.0045335386781476025,0.004572663894957536,0.013109127321954654,0.0066516414630507425,0.00545628136459027,0.005685942176005818,0.00903030267059673,0.006980728800715418
2000-08-22,-0.005398715815608942,-0.009240140070350893,-0.014414254799643113,-0.006190916604202192,-0.005520388083568776,-0.007187185845555607,-0.010135920864041236,-0.008209139169929502
2000-08-23,0.005721390249764169,0.005920063135717574,0.01507617402094523,0.018600564310789672,0.004652602384780719,0.006259554961438714,0.011928000272146359,0.016463129083393428
2000-08-24,-0.0032494600101420873,-0.010440614729455148,-0.014748736884748684,-0.02244928199291973,-0.005312220508195497,-0.010663196304304021,-0.012601238912110325,-0.019304133174752647
2000-08-25,0.002153080306295686,-0.010090381407097814,0.005630256353062681,0.003020470685840955,0.001807839449252927,-0.005023715812382748,0.0032195770839178422,-0.0005047916869104844
2000-08-28,0.0026032254361182477,0.0009744698828728051,0.003676437634199923,0.0017985055081731907,0.0009156584901217173,0.0006792003952781031,0.004470696209282259,0.0036960484762773313
2000-08-29,-0.007344177443905435,-0.0096401922035131,-0.004658821984756546,-0.007070232244330102,-0.005402490547099262,-0.00842881780814867,-0.004666340485084163,-0.006458475880394977
2000-08-30,-0.00683947208470961,-0.00967679463904733,-0.0028928953434470945,-0.012905516652548174,-0.006099448557128216,-0.010509458554974798,-0.004567521565522172,-0.01254614947426402
2000-08-31,-0.007925902873086402,-0.008571317145768784,-0.008356789903976118,-0.009174141155581949,-0.0017753514270992582,-0.001101510695289852,-0.0037385879064533523,-0.004261991057494473
2000-09-01,0.00953302733297424,0.00827427995534321,0.008013548132897681,0.01506993764621744,0.006775888099548662,0.00615882441780757,0.006969685884184729,0.011015666269447293
2000-09-05,-0.0010709937870757365,-0.0005129251674570824,-0.007055249726908185,0.007635680455636524,-0.0032985637797109495,-0.00035756540806891726,-0.0044595654922985435,0.003987401461466391
2000-09-06,-0.007811518535982597,-0.011474934513987416,0.005760384557152458,0.010907641344113941,-0.002520118727668614,0.00043056511478813293,0.003908998967093341,0.008285462277430954
2000-09-07,0.0026749867954235095,0.004645735918690655,0.0035152221119934186,0.0004608573279383868,0.0017108149728928105,0.0031946238275970206,0.0010679530837374072,0.0003587133453243591
2000-09-08,0.0025704140176898583,0.005307922002780756,-0.01366681436467253,-0.005907894979414058,0.00010732123126312822,0.003671369187085922,-0.010204682464046566,-0.005308678886734349
2000-09-11,-0.0009977237909932107,-0.004230645450172138,0.0013625859717216167,0.011426137176237918,-0.00118733682450237,0.0014654727693862095,0.005351664192193669,0.013651339916722835
2000-09-12,0.001095556043388661,0.005472742687809207,0.002159168230404646,-0.0005190469555649241,0.0011603450670725662,0.0034405416547911944,0.002230320218641908,0.0014073337377435889
2000-09-13,-0.003618348679593884,-0.001638075125323417,-0.0002681424240705005,-0.00898280538717462,-0.004279675954029314,-0.0041580733372096525,-0.0034499670312785717,-0.007723234944745428
2000-09-14,-0.01604223779126765,-0.019981202260311536,-0.01017014686145767,-0.014271517001585066,-0.01665553396972356,-0.021329385309063288,-0.010325117478887754,-0.012545417137713323
2000-09-15,-0.0005529731592871998,-0.002117266668799889,0.010118713312597042,0.02683355238389823,-0.0006760479445686825,0.0031804094590238926,0.0063816864816024,0.018282191009578536
2000-09-18,0.003643340144590279,0.015234424793297176,0.0003593742716737343,0.010417392354683714,-0.0014366250858324756,0.005278678991972473,-0.001826290733363367,0.006435714334838934
2000-09-19,-0.002319558674165788,0.00010563252307530484,-0.010153496908836058,-0.020013213078904336,-0.0048809028923546645,-0.005198911999456606,-0.00959834440389172,-0.01792082536416049
2000-09-20,-0.017503103807812052,-0.01793390154471656,-0.03101190065404387,-0.024476060676328168,-0.015353376959725365,-0.014601790892592382,-0.023114398762839387,-0.020913745908115216
2000-09-21,0.010338926551857707,0.011368734519236763,0.005335199088129513,-0.006032009206070541,0.012125131296673326,0.01436986568228128,0.008639927994541724,0.0016199456673169311
2000-09-22,0.028964749015896837,0.038020982882533166,0.012287228056689364,0.004834121825794619,0.024269203672655195,0.026665168921330685,0.016597582445920512,0.009954446944799354
2000-09-25,0.0029966415313204394,0.005802141946115392,-0.0005693857682917545,-0.005909100462311799,-0.0010832100113712666,-0.002357917783470217,-0.0019128000329634927,-0.004904639923505392
2000-09-26,0.00032372186134902386,0.0017543756484332022,0.0010339440914388799,0.008282407476008252,-0.0016546299570061645,-0.0013883134821138841,0.0007426964815334024,0.005198980289014179
2000-09-27,0.00042430222904260144,0.0028418292498778902,0.008038591133559269,0.025725725204181447,0.0017576015069374969,0.004813955810985769,0.009738814721507212,0.020840181239635287
2000-09-28,0.0211735866433277,0.013412541919209767,0.013550551206522647,-0.006799520803676495,0.023885523466632985,0.017158328902671507,0.01241250536014506,-0.0018770796196240218
