,AnnReturn,AnnVol,Sharpe,MaxDD,Calmar,Turnover,SharpeStab,Sortino,Omega,VaR95,CVaR95,Skew,Kurt,HitRate
HRP,0.09380115366852682,0.1633010665477699,0.5744062525218565,-0.4177224058466853,0.2245538002166784,0.31725416274160023,0.1079374355477205,0.7271117611642606,1.1279331409588578,-0.015113894802689598,-0.02441786724594128,-0.12728725218202636,13.187646179835667,0.5433016421780467
+NLS+EWMA,0.09262470246456767,0.15595925908921127,0.5939031962929806,-0.42521067518032163,0.2178324954454348,0.4163158226084097,0.11268745890162615,0.7405591177059975,1.1321214812104308,-0.014502452563228234,-0.023453925704755758,-0.19595350521012453,13.851378980642561,0.5443388072601556
+VBTree,0.09652904448298072,0.1518455321083311,0.6357055301048571,-0.31798027369872384,0.303569285478504,1.072916094470506,0.11553799201529742,0.8133854486319637,1.1363538452818507,-0.013611714636678181,-0.02236744363696056,-0.3846264049547522,14.520567952873154,0.5369057908383751
+BL+Sharpe,0.1361064828860752,0.19345445870862116,0.7035582627282692,-0.35355836902782556,0.3849618473473708,1.2175340015872578,0.11670336886561931,0.9366960955962055,1.1567868289154755,-0.01654623135418838,-0.02758064460686726,0.18951514902814204,16.567075794714714,0.5298184961106309
HMVA,0.1398338415747209,0.17285266301177143,0.8089770741061598,-0.3812289763067753,0.36679751610013106,1.0882656731879805,0.10927699760332442,1.076175145603637,1.171944157637555,-0.015282606528233964,-0.02470893263309522,-0.06042039548044565,12.631660264329538,0.5369057908383751
EW,0.08982595160272866,0.1882416298816008,0.47718430646412746,-0.5520665309811985,0.16270856239569398,0.05687272727272727,0.1117126585227906,0.5960707776817384,1.1119736902421578,-0.017778377097755933,-0.028631714560749186,-0.18390785011363042,11.65176402097425,0.5452031114952464
