strategy,mean_dSharpe_EW,median_dSharpe_EW,pct_pos_EW,mean_dSortino_EW,mean_dSharpe_SPYK,mean_dSortino_SPYK,mean_sharpe,mean_sortino,mean_calmar,mean_max_dd,mean_var95,mean_hit_rate,mean_turnover,n_cells
GMV,0.10447537282482322,0.13142611618768735,0.8333333333333334,0.13720760694241455,0.1159183162930556,0.1478926412603565,0.4416461344655374,0.5648603098337968,0.1563848129441923,-0.39819439785811445,-0.012871247229608506,0.5371623526758021,0.8856521024828439,6
HMVA,0.21319632016878354,0.23202393013226535,1.0,0.28857990312116516,0.2246392636370159,0.2992649374391071,0.5503670818094978,0.7162326060125473,0.30865339949788906,-0.3154814559920937,-0.01609755822779002,0.537500704900468,0.781553000161805,6
HMVA-mv,0.1784545710826221,0.1971969695184822,1.0,0.2334241564579089,0.1898975145508545,0.2441091907758509,0.5156253327233363,0.6610768593492911,0.24639643879065395,-0.31298229568505104,-0.013260464954875947,0.5343991428410308,0.6704915065911323,6
HRP,0.12459706944932787,0.13405630052611459,1.0,0.1536508691118992,0.13604001291756024,0.16433590342984117,0.4617678310900421,0.5813035720032814,0.1662741379236431,-0.4393492346742886,-0.014860950387193787,0.5420120678960131,0.4002040815469203,6
MVO,-0.25237444847828616,-0.23364787345766344,0.0,-0.32354962517291114,-0.24093150501005378,-0.31286459085496915,0.08479631316242804,0.10410307771847106,0.03706560394029747,-0.7450202643193471,-0.02797768137876026,0.5212316020977837,1.489556733704546,6
