lookback,cost_bps,strategy,ann_return,ann_vol,sharpe,sortino,omega,max_dd,calmar,var95,cvar95,hit_rate,turnover,sharpe_minus_ew,sortino_minus_ew,sharpe_minus_spyk,sortino_minus_spyk
126,0.0,HMVA,0.10868767958166625,0.17651617140773793,0.6157378030288602,0.8011661620061764,1.13421557647358,-0.31079900639121993,0.3497040767397276,-0.01600594776511386,-0.025374057303420808,0.5396717983420741,0.781553000161805,0.27111660555577743,0.3640568312538121,0.28805221207373144,0.3816799825793865
126,0.0,HMVA-mv,0.08663859165770127,0.1492096943279096,0.5806498836952283,0.7446533631095589,1.1251506119170798,-0.3085352922881035,0.28080609843751697,-0.013216783208986404,-0.02168014312798962,0.5357807477584166,0.6704915065911323,0.23602868622214557,0.3075440323571946,0.25296429274009957,0.325167183682769
126,0.0,MVO,0.04691457066934146,0.3112778462627992,0.1507160603704942,0.18498963228598295,1.0629245035107735,-0.6963096793790146,0.06737601394710035,-0.02797768137876026,-0.046523999178854185,0.5239384198951108,1.489556733704546,-0.19390513710258853,-0.2521196984663814,-0.17696953058463452,-0.23449654714080695
126,0.0,GMV,0.07429129153088887,0.1396054323008407,0.5321518676350354,0.6804228867559222,1.1158639609462395,-0.38092983393887736,0.1950261830707893,-0.012828277729832726,-0.020534979352138962,0.5401793266790729,0.8856521024828439,0.18753067016195268,0.24331355600355792,0.2044662766799067,0.2609367073291323
126,0.0,HRP,0.07874321018625752,0.158059540535836,0.49818701180144503,0.6270248475723499,1.1124059542258948,-0.43502593068650375,0.181008083959489,-0.014843648311342373,-0.023763552179955145,0.5435628489257317,0.4002040815469203,0.1535658143283623,0.18991551681998559,0.1705014208463163,0.20753866814556
126,0.0,EW,0.06634642578829797,0.19251986318537495,0.34462119747308273,0.4371093307523643,1.085314961445233,-0.5542101627511122,0.11971347739087417,-0.018508274251388637,-0.029093161860927873,0.5408560311284046,0.10052767547081261,0.0,0.0,0.016935606517954005,0.017623151325574404
126,0.0,SPY-100,0.06321751416594679,0.19292125107387895,0.3276855909551287,0.4194861794267899,1.0817652912630336,-0.5519950323236422,0.11452551284715456,-0.018697788871522687,-0.029123811741941393,0.5362882760954153,0.026520701402587325,-0.016935606517954005,-0.017623151325574404,0.0,0.0
126,2.0,HMVA,0.10661262906443802,0.1765241335819305,0.603954977153057,0.785867200744067,1.1319674094265273,-0.3116051382590018,0.3421401510260819,-0.016007617707578265,-0.025382448773941947,0.5391642700050753,0.781553000161805,0.2606694087022418,0.3504600904639086,0.2766201157575313,0.36683221459627435
126,2.0,HMVA-mv,0.08489400045657525,0.14921427488097422,0.5689402071235732,0.7296157290142538,1.1228907744468863,-0.309245528643429,0.2745197346231027,-0.013216783208986404,-0.02168800214556622,0.5354423955337506,0.6704915065911323,0.22565463867275798,0.2942086187340953,0.24160534572804748,0.3105807428664611
126,2.0,MVO,0.043182557412131395,0.3112857515773277,0.13872320590749637,0.17027522160336786,1.0604913748205678,-0.7047180435694529,0.06127636124287142,-0.02797768137876026,-0.04654219747056443,0.5237692437827779,1.489556733704546,-0.20456236254331883,-0.2651318886767906,-0.18861165548802933,-0.2487597645444248
