n,rep,score_bf,score_h,approx_ratio,exact_match
12,0,-0.836393594351588,-0.6845781577528561,0.8184880448344103,0
12,1,-0.6103672944865663,-0.6103672944865662,0.9999999999999998,1
12,2,-0.7987745397488253,-0.7987745397488253,1.0,1
12,3,-0.784083026826257,-0.7840830268262569,0.9999999999999999,1
12,4,-0.8581014843599496,-0.8581014843599495,0.9999999999999999,1
12,5,-0.8237051375833043,-0.8089845074102425,0.98212876246438,0
12,6,-0.7216658372694628,-0.7216658372694629,1.0,1
12,7,-0.4736758145414245,-0.4736758145414244,0.9999999999999998,1
12,8,-0.803779455639088,-0.803779455639088,1.0,1
12,9,-0.8398048006423208,-0.8398048006423208,1.0,1
12,10,-0.8459770793301515,-0.8459770793301512,0.9999999999999996,1
12,11,-0.8711451874438827,-0.8249126070561918,0.9469289608046316,0
12,12,-0.5383714189941063,-0.5383714189941065,1.0,1
12,13,-0.5772636094615629,-0.5629690609299208,0.9752373988289768,0
12,14,-0.8526696549397963,-0.8390780025560047,0.9840598849682868,0
12,15,-0.760369726961816,-0.7603697269618162,1.0,1
12,16,-0.7599443733587482,-0.7337660280440356,0.9655522874667636,0
12,17,-0.783467504644105,-0.783467504644105,1.0,1
12,18,-0.35569596751476507,-0.35569596751476507,1.0,1
12,19,-0.714949269396018,-0.714949269396018,1.0,1
12,20,-0.6624284668413605,-0.6624284668413606,1.0,1
12,21,-0.7682253419291349,-0.7682253419291349,1.0,1
12,22,-0.8723440127863803,-0.8723440127863803,1.0,1
12,23,-0.37347895079367555,-0.3734789507936755,0.9999999999999999,1
12,24,-0.5290398937929423,-0.347211644868001,0.6563052218589286,0
12,25,-0.9144745146073343,-0.9144745146073343,1.0,1
12,26,-0.7742627900539861,-0.7742627900539863,1.0,1
12,27,-0.7582054095928777,-0.7582054095928776,0.9999999999999999,1
12,28,-0.7493752087801682,-0.7493752087801682,1.0,1
12,29,-0.7317063042613459,-0.6436106169893343,0.879602394076755,0
12,30,-0.8062214043250041,-0.8021689853815942,0.9949735656710792,0
12,31,-0.8400792279733708,-0.7905839692894097,0.941082630023641,0
12,32,-0.8609644834352772,-0.8609644834352772,1.0,1
12,33,-0.686358638177422,-0.6762599586225148,0.985286584894271,0
12,34,-0.8057466457483013,-0.776427014519204,0.9636118482356597,0
12,35,-0.531321367517216,-0.531321367517216,1.0,1
12,36,-0.4531234225238364,-0.4196025487712546,0.9260226417652941,0
12,37,-0.8976099472064721,-0.897609947206472,0.9999999999999999,1
12,38,-0.8987693995351878,-0.8987693995351878,1.0,1
12,39,-0.815766848486224,-0.8013752762014149,0.9823582285655333,0
12,40,-0.36264803456527883,-0.36264803456527883,1.0,1
12,41,-0.5773478724477614,-0.5773478724477614,1.0,1
12,42,-0.6658775658292866,-0.6658775658292865,0.9999999999999998,1
12,43,-0.7226233362992278,-0.7226233362992277,0.9999999999999999,1
12,44,-0.5520895625736663,-0.5520895625736664,1.0,1
12,45,-0.8020758926158635,-0.8020758926158634,0.9999999999999999,1
12,46,-0.8216004450472015,-0.8216004450472018,1.0,1
12,47,-0.736300462261562,-0.736300462261562,1.0,1
12,48,-0.8679127568242488,-0.8679127568242488,1.0,1
12,49,-0.828483602145635,-0.828483602145635,1.0,1
12,50,-0.5801208052318009,-0.5801208052318008,0.9999999999999998,1
12,51,-0.8394970191691757,-0.8394970191691757,1.0,1
12,52,-0.305432734036438,-0.305432734036438,1.0,1
12,53,-0.8438501135616732,-0.7583475055550611,0.8986755981512787,0
