n,median_ratio,p95_ratio,max_ratio,match_pct
4,1.0,1.0,5.0,87.33333333333333
6,1.0,1.0,1.1825799379887214,81.33333333333333
8,1.0,1.0,1.0,67.33333333333333
10,1.0,1.0,1.0000000000000007,67.33333333333333
12,0.9999999999999998,1.0,1.0000000000000013,54.0
