rep,estimator,minvar_true_var,frobenius,mv_relative_to_sample,mv_relative_to_lw,regime,N,T,N_T_ratio
0,Sample,0.010496961615819863,6.371664120398484,0.0,0.36117097289738986,dispersed_eigs,100,252,2.52
0,LW,0.007711714270159626,6.012679329169599,-0.2653384329292601,0.0,dispersed_eigs,100,252,2.52
0,NLS,0.007308013103152874,5.523395824995938,-0.30379729195741345,-0.05234908255987499,dispersed_eigs,100,252,2.52
0,POET,0.008318927704255073,8.703665792407998,-0.20749184299981602,0.0787390990930578,dispersed_eigs,100,252,2.52
1,Sample,0.010642348904860347,6.870841207486812,0.0,0.3054700638600735,dispersed_eigs,100,252,2.52
1,LW,0.00815212022050706,5.489109766788843,-0.2339923927147327,0.0,dispersed_eigs,100,252,2.52
1,NLS,0.007737848843017003,5.591112576487563,-0.27291907903121493,-0.05081762367143905,dispersed_eigs,100,252,2.52
1,POET,0.007981660357135824,7.610587228330935,-0.2500095205964719,-0.02090988095862902,dispersed_eigs,100,252,2.52
2,Sample,0.01014185930427308,6.293823158090721,0.0,0.36331189016766646,dispersed_eigs,100,252,2.52
2,LW,0.007439133610890599,5.626473402260358,-0.26649213051533255,0.0,dispersed_eigs,100,252,2.52
2,NLS,0.00723873465496349,5.159829590585931,-0.2862517179750673,-0.026938480528664394,dispersed_eigs,100,252,2.52
2,POET,0.00822207423442678,7.48036928695038,-0.18929320672368585,0.10524621071329947,dispersed_eigs,100,252,2.52
3,Sample,0.010110687430500557,6.513414389302732,0.0,0.3531946665322462,dispersed_eigs,100,252,2.52
3,LW,0.007471716878999111,5.365513340632693,-0.2610080243941234,0.0,dispersed_eigs,100,252,2.52
3,NLS,0.007007323276817936,5.348810870195395,-0.3069389865936129,-0.06215353307704346,dispersed_eigs,100,252,2.52
3,POET,0.007390229362959761,8.073653381577452,-0.2690675669919422,-0.0109061300580578,dispersed_eigs,100,252,2.52
4,Sample,0.01052343089111341,6.313383616583986,0.0,0.3165849934408831,dispersed_eigs,100,252,2.52
4,LW,0.007992974964427111,5.531427726713739,-0.24045921457261263,0.0,dispersed_eigs,100,252,2.52
4,NLS,0.007428592450742487,5.158810295238736,-0.2940902517813257,-0.07060981877166125,dispersed_eigs,100,252,2.52
4,POET,0.008467326442841335,8.588254604792843,-0.19538347042392495,0.05934604831434289,dispersed_eigs,100,252,2.52
5,Sample,0.011666717903550368,6.610009243639559,0.0,0.4017452681670385,dispersed_eigs,100,252,2.52
5,LW,0.00832299431893649,5.89967206103198,-0.28660361999464556,0.0,dispersed_eigs,100,252,2.52
5,NLS,0.007829966207073207,5.5936719787272375,-0.32886298684821863,-0.059236867522731024,dispersed_eigs,100,252,2.52
5,POET,0.00824405462829689,6.3306210912650815,-0.29336984947685313,-0.009484530160016743,dispersed_eigs,100,252,2.52
6,Sample,0.010074855263276502,6.273343041082198,0.0,0.3585957982439426,dispersed_eigs,100,252,2.52
6,LW,0.007415638467525653,5.356396433176099,-0.2639459055500148,0.0,dispersed_eigs,100,252,2.52
6,NLS,0.006873321955710464,5.052379315905828,-0.3177746204688254,-0.0731314659135671,dispersed_eigs,100,252,2.52
6,POET,0.0077551658222084945,8.886782250524766,-0.2302454358350363,0.045785316553617006,dispersed_eigs,100,252,2.52
7,Sample,0.010935066557397649,6.2714922627934895,0.0,0.3541433115927161,dispersed_eigs,100,252,2.52
7,LW,0.008075265345834071,5.392226378794784,-0.26152572520273343,0.0,dispersed_eigs,100,252,2.52
7,NLS,0.007653174105090544,5.047156157142918,-0.30012551227563233,-0.05226964349366905,dispersed_eigs,100,252,2.52
7,POET,0.008295660739902956,7.644267417497688,-0.24137080498235433,0.027292650412111145,dispersed_eigs,100,252,2.52
8,Sample,0.010370924119021855,6.617199450282152,0.0,0.3163295372588328,dispersed_eigs,100,252,2.52
8,LW,0.007878668544214698,5.6262645427424065,-0.2403118127376885,0.0,dispersed_eigs,100,252,2.52
8,NLS,0.0076125801950459,5.476530642337911,-0.26596896210210735,-0.03377326355024619,dispersed_eigs,100,252,2.52
8,POET,0.00872310824881661,7.166424954543621,-0.15888804616580887,0.10718050897343356,dispersed_eigs,100,252,2.52
9,Sample,0.011643150645791859,6.589506127891078,0.0,0.2544035675094497,dispersed_eigs,100,252,2.52
9,LW,0.009281822012758385,5.9076929767654365,-0.2028083896592818,0.0,dispersed_eigs,100,252,2.52
9,NLS,0.00894940905544045,5.568834119002922,-0.23135847609469853,-0.03581333027728989,dispersed_eigs,100,252,2.52
9,POET,0.009908940288744793,6.75971196623365,-0.14894682803695017,0.06756413505068286,dispersed_eigs,100,252,2.52
10,Sample,0.00924467574579434,6.758389820436195,0.0,0.22274470898084958,dispersed_eigs,100,252,2.52
10,LW,0.007560593538368056,6.276748136989537,-0.1821677962250239,0.0,dispersed_eigs,100,252,2.52
10,NLS,0.007312519036793666,5.993736553733391,-0.20900210695650043,-0.032811511466060934,dispersed_eigs,100,252,2.52
10,POET,0.007794756667555559,7.6497202770523876,-0.15683828379793519,0.030971527301287417,dispersed_eigs,100,252,2.52
11,Sample,0.009507486439706721,6.613874893199612,0.0,0.29968495776327564,dispersed_eigs,100,252,2.52
11,LW,0.007315223880153896,5.5960824941637215,-0.23058277005761899,0.0,dispersed_eigs,100,252,2.52
11,NLS,0.006662227078805892,5.396971004444911,-0.29926515056787156,-0.08926545681254888,dispersed_eigs,100,252,2.52
11,POET,0.007149677238956896,7.072419915650432,-0.24799501063738114,-0.02263042716247219,dispersed_eigs,100,252,2.52
12,Sample,0.011340022243638094,6.310051463157634,0.0,0.3488558976255964,dispersed_eigs,100,252,2.52
12,LW,0.008407141388194277,5.514740401501296,-0.2586309614241897,0.0,dispersed_eigs,100,252,2.52
12,NLS,0.0077347812507432175,5.245576806380508,-0.3179218625358046,-0.07997488163993778,dispersed_eigs,100,252,2.52
12,POET,0.009254940603230231,8.539115904401394,-0.18386927252965682,0.10084274498184075,dispersed_eigs,100,252,2.52
13,Sample,0.01021813914676437,6.053304862400249,0.0,0.2783722890449326,dispersed_eigs,100,252,2.52
13,LW,0.007993085609199419,5.3988217445645,-0.21775525911384044,0.0,dispersed_eigs,100,252,2.52
13,NLS,0.0076908525603692065,4.948849266797572,-0.2473333500449975,-0.037811811809242424,dispersed_eigs,100,252,2.52
13,POET,0.008507913314761261,7.3142975438046305,-0.16737155439350834,0.06440913193389493,dispersed_eigs,100,252,2.52
