rep,estimator,minvar_true_var,frobenius,mv_relative_to_sample,mv_relative_to_lw,regime,N,T,N_T_ratio
0,Sample,0.030506359229768215,9.724766870382037,0.0,2.9462222157428912,dispersed_eigs,100,126,1.26
0,LW,0.0077305223988825165,7.593635053923558,-0.746593084390777,0.0,dispersed_eigs,100,126,1.26
0,NLS,0.0075694523855675926,7.298126451764811,-0.7518729675817463,-0.020835592344730466,dispersed_eigs,100,126,1.26
0,POET,0.008678177387805651,9.034269576963236,-0.7155289058768621,0.12258615136541386,dispersed_eigs,100,126,1.26
1,Sample,0.02334513710013526,8.859022407806568,0.0,1.9473454077486132,dispersed_eigs,100,126,1.26
1,LW,0.007920733361878984,7.242501146396039,-0.6607116365218051,0.0,dispersed_eigs,100,126,1.26
1,NLS,0.00793305725420442,6.715775342527443,-0.6601837367595302,0.0015559029400924178,dispersed_eigs,100,126,1.26
1,POET,0.008696406615594716,8.677323690354765,-0.6274853054709912,0.0979294742389515,dispersed_eigs,100,126,1.26
2,Sample,0.026376530326073587,9.045812388001044,0.0,2.272200437557097,dispersed_eigs,100,126,1.26
2,LW,0.008060792983013388,7.519538300549719,-0.6943952489821916,0.0,dispersed_eigs,100,126,1.26
2,NLS,0.007468914901450875,6.999016773989103,-0.7168348221271642,-0.07342678106357346,dispersed_eigs,100,126,1.26
2,POET,0.007812033675272407,8.5295502142887,-0.7038263342942382,-0.03086040148471684,dispersed_eigs,100,126,1.26
3,Sample,0.04469256262339159,9.131572293991503,0.0,4.207707154953781,dispersed_eigs,100,126,1.26
3,LW,0.008582003805816583,7.276352381747221,-0.8079769137846471,0.0,dispersed_eigs,100,126,1.26
3,NLS,0.008802927454410315,6.990341960954327,-0.803033727813071,0.0257426649524436,dispersed_eigs,100,126,1.26
3,POET,0.008890402065316423,9.70262489554707,-0.8010764757386437,0.03593546058448705,dispersed_eigs,100,126,1.26
4,Sample,0.06703714514030912,9.151103835641575,0.0,7.122252985535804,dispersed_eigs,100,126,1.26
4,LW,0.00825351602070135,7.250154049762713,-0.8768814512696402,0.0,dispersed_eigs,100,126,1.26
4,NLS,0.00799642798867163,6.661669577123655,-0.8807164599277749,-0.031148910523090458,dispersed_eigs,100,126,1.26
4,POET,0.00850342944019043,8.24608353705224,-0.8731534670458787,0.030279630991477124,dispersed_eigs,100,126,1.26
5,Sample,0.02722432153823805,8.940105135029427,0.0,2.2274605045133486,dispersed_eigs,100,126,1.26
5,LW,0.008435214466657915,7.074902129282749,-0.6901588730205749,0.0,dispersed_eigs,100,126,1.26
5,NLS,0.00848008790244228,6.804076240472638,-0.6885105882057875,0.005319774139915072,dispersed_eigs,100,126,1.26
5,POET,0.009034345132715093,8.942914872895262,-0.6681516885544472,0.0710273186799668,dispersed_eigs,100,126,1.26
6,Sample,0.02547413394438594,9.042318841524276,0.0,2.127768449084492,dispersed_eigs,100,126,1.26
6,LW,0.0081445076127174,7.628269571351609,-0.6802832382644236,0.0,dispersed_eigs,100,126,1.26
6,NLS,0.008354018824200185,7.0671758949709105,-0.6720587697922007,0.0257242329979089,dispersed_eigs,100,126,1.26
6,POET,0.008594015877433702,8.457114236416427,-0.6626375641976369,0.05519158260892393,dispersed_eigs,100,126,1.26
7,Sample,0.038160289695729016,9.241671454515277,0.0,3.8076785327035916,dispersed_eigs,100,126,1.26
7,LW,0.00793736299882547,7.563467813843062,-0.7919994040371806,0.0,dispersed_eigs,100,126,1.26
7,NLS,0.007985086317178074,7.110507663370219,-0.7907488024633161,0.006012490339633712,dispersed_eigs,100,126,1.26
7,POET,0.008412012946421393,8.941813567068325,-0.7795610826465271,0.05979945073271296,dispersed_eigs,100,126,1.26
8,Sample,0.04287386857400162,9.03932895971445,0.0,3.8335270267673014,dispersed_eigs,100,126,1.26
8,LW,0.008870100102176521,7.374730818595699,-0.7931117392202093,0.0,dispersed_eigs,100,126,1.26
8,NLS,0.008382505344723755,6.87206029327882,-0.8044845118127073,-0.05497060369511745,dispersed_eigs,100,126,1.26
8,POET,0.00888508743563164,8.519602219833603,-0.792762171197691,0.001689646484535294,dispersed_eigs,100,126,1.26
9,Sample,0.03621172189413154,9.184493515747988,0.0,3.863838111442469,dispersed_eigs,100,126,1.26
9,LW,0.007445091934483039,8.170836682246643,-0.7944010517851241,0.0,dispersed_eigs,100,126,1.26
9,NLS,0.007310102288652398,7.550195867158434,-0.7981288404339294,-0.018131360501462256,dispersed_eigs,100,126,1.26
9,POET,0.009602540555391012,9.694823056865134,-0.7348223157279026,0.28978132706668575,dispersed_eigs,100,126,1.26
10,Sample,0.03748969544031888,9.436140128598662,0.0,3.600017783637189,dispersed_eigs,100,126,1.26
10,LW,0.008149902283785553,7.233045076148818,-0.7826095360854649,0.0,dispersed_eigs,100,126,1.26
10,NLS,0.008350926308469127,7.064745464632288,-0.7772474219812415,0.024665820237319478,dispersed_eigs,100,126,1.26
10,POET,0.00916069498280867,10.003385161947872,-0.7556476553032582,0.12402513107845674,dispersed_eigs,100,126,1.26
11,Sample,0.03802772427892215,9.437584176545403,0.0,4.0834815681636885,dispersed_eigs,100,126,1.26
11,LW,0.007480645649839337,7.740654852620198,-0.8032844249376848,0.0,dispersed_eigs,100,126,1.26
11,NLS,0.0073596068472916686,7.337070744337972,-0.8064673343765953,-0.016180261465835913,dispersed_eigs,100,126,1.26
11,POET,0.007951065530321419,9.477544673085527,-0.790913979705893,0.06288493032579148,dispersed_eigs,100,126,1.26
12,Sample,0.031023866125765805,9.106966060628967,0.0,2.6101476260787213,dispersed_eigs,100,126,1.26
12,LW,0.008593517312604576,6.841604990026099,-0.72300301716853,0.0,dispersed_eigs,100,126,1.26
12,NLS,0.007946011283495485,6.586653258301887,-0.7438742401967691,-0.07534819626875702,dispersed_eigs,100,126,1.26
12,POET,0.009332424949179116,9.006290347167782,-0.6991856233730847,0.08598430767000892,dispersed_eigs,100,126,1.26
13,Sample,0.02562854970790281,8.693505024641237,0.0,1.8389814477688133,dispersed_eigs,100,126,1.26
13,LW,0.00902737484531453,7.016795275077321,-0.6477609951322821,0.0,dispersed_eigs,100,126,1.26
13,NLS,0.008392536553130154,6.4557864110977725,-0.6725317410160655,-0.07032368801145725,dispersed_eigs,100,126,1.26
13,POET,0.009171057170891223,8.35996368265016,-0.6421546566069152,0.015916291063427873,dispersed_eigs,100,126,1.26
14,Sample,0.02910299343440453,8.63340542270497,0.0,2.579755310646123,dispersed_eigs,100,126,1.26
14,LW,0.008129883444226702,7.271222821917681,-0.7206512978621697,0.0,dispersed_eigs,100,126,1.26
14,NLS,0.007981754462004217,6.543142500559122,-0.7257411173185894,-0.01822030822934811,dispersed_eigs,100,126,1.26
14,POET,0.00879879193205131,8.2410952923342,-0.6976671162063457,0.08227774634329132,dispersed_eigs,100,126,1.26
15,Sample,0.02054439696047937,9.233055389688179,0.0,1.3909062917510049,dispersed_eigs,100,126,1.26
15,LW,0.008592723617550677,7.000597169716635,-0.5817485597615624,0.0,dispersed_eigs,100,126,1.26
15,NLS,0.008365321283668748,6.935145077254694,-0.5928173847224203,-0.026464523241205913,dispersed_eigs,100,126,1.26
15,POET,0.009675910042322176,9.842054183639592,-0.5290243826121823,0.12605856687384728,dispersed_eigs,100,126,1.26
16,Sample,0.026121674528402482,9.320442101299069,0.0,2.301941116291742,dispersed_eigs,100,126,1.26
