param,value,sharpe,ci_lo,ci_hi,delta_sharpe,ew_sharpe,ann_ret,ann_vol,max_dd,n_days
ewma_halflife,5.0,0.5513298688973596,0.18516435434188772,0.9727181217487194,0.0,0.5513298688973596,0.08982595160272866,0.1882416298816008,-0.5520665309811985,5785
ewma_halflife,10.0,0.6609666682267092,0.31347538840063055,1.077856675679479,0.10963679932934967,0.5513298688973596,0.11020440543849275,0.18377391682135177,-0.463808725738167,5785
ewma_halflife,14.0,0.6495046561381485,0.24980685770912234,1.0585908292791388,0.09817478724078887,0.5513298688973596,0.10316986384986904,0.17474660574472342,-0.38456990055456086,5785
ewma_halflife,21.0,0.8390015133231851,0.4439874563032277,1.2403880366166171,0.2876716444258255,0.5513298688973596,0.13732657380202018,0.17081882733507278,-0.34794756678818306,5785
ewma_halflife,30.0,0.7305024844850724,0.34699083490968485,1.1309868112734602,0.1791726155877128,0.5513298688973596,0.11419671152452548,0.1672450138124335,-0.37308844465897906,5785
ewma_halflife,42.0,0.6789641478723843,0.308157084759706,1.0861932056063006,0.12763427897502477,0.5513298688973596,0.1037285263113572,0.16563448203008313,-0.32544085295780567,5785
ewma_halflife,63.0,0.5300148755330291,0.17522686895535947,0.900949455900464,-0.021314993364330515,0.5513298688973596,0.07727839550238991,0.16678062549387146,-0.35378156620982293,5785
weight_reg,0.0,0.8388665664356422,0.4371316355138367,1.2411472483746544,0.2875366975382826,0.5513298688973596,0.139831268110723,0.17415397847775574,-0.34284129347164105,5785
weight_reg,0.03,0.8390324091554234,0.437694469128185,1.2411615458996563,0.28770254025806385,0.5513298688973596,0.13909892397783064,0.1731449109986,-0.344336894216295,5785
weight_reg,0.05,0.8391340118423823,0.4414045365002753,1.2410170077880198,0.28780414294502277,0.5513298688973596,0.13861009068610475,0.1724744820118708,-0.3453474842929669,5785
weight_reg,0.1,0.8390015133231851,0.4439874563032277,1.2403880366166171,0.2876716444258255,0.5513298688973596,0.13732657380202018,0.17081882733507278,-0.34794756678818306,5785
weight_reg,0.15,0.8380866740897742,0.4422816448440778,1.2437378111281647,0.28675680519241464,0.5513298688973596,0.13593922056977736,0.16922556830221677,-0.350881609407788,5785
weight_reg,0.2,0.8355408120396948,0.4428145916468739,1.2493775310052506,0.2842109431423352,0.5513298688973596,0.13434230677077008,0.1677620243768726,-0.35384627776126654,5785
weight_reg,0.3,0.8250722729428217,0.43298981885349014,1.242733651513957,0.27374240404546213,0.5513298688973596,0.130548175844047,0.1653390697020128,-0.36066642547443395,5785
turnover_penalty,0.0,0.7879646634103191,0.3998682147487186,1.182348056777257,0.23663479451295955,0.5513298688973596,0.1370150172564346,0.18464536132954976,-0.3350123437676862,5785
turnover_penalty,0.01,0.8058895100718132,0.4097073217630456,1.1931521959002094,0.2545596411744536,0.5513298688973596,0.13593113988978356,0.17782987286429625,-0.3359058114351364,5785
turnover_penalty,0.02,0.8150932886159769,0.4153908811057882,1.2180024084196146,0.2637634197186173,0.5513298688973596,0.1360071503618352,0.1753713013350065,-0.3417598213101066,5785
turnover_penalty,0.05,0.8390015133231851,0.4439874563032277,1.2403880366166171,0.2876716444258255,0.5513298688973596,0.13732657380202018,0.17081882733507278,-0.34794756678818306,5785
turnover_penalty,0.08,0.8548002134568059,0.4573161458534855,1.2524365780824671,0.3034703445594463,0.5513298688973596,0.13873564464086674,0.16868159852680778,-0.3552401316711371,5785
turnover_penalty,0.1,0.8620705262729137,0.4603903390047871,1.262127391056694,0.3107406573755541,0.5513298688973596,0.1396338861597557,0.16804789220781002,-0.36291503801453884,5785
turnover_penalty,0.15,0.8743216462857913,0.4681558940757422,1.287836842588716,0.32299177738843177,0.5513298688973596,0.14207060126215065,0.1681585176810442,-0.3807918449004054,5785
turnover_penalty,0.2,0.8792848280812384,0.47640358573437647,1.290667070123223,0.32795495918387885,0.5513298688973596,0.144212271366303,0.1696183190914734,-0.38383248352973187,5785
turnover_penalty,0.25,0.8816366899950733,0.47556008530416766,1.2990545517330856,0.3303068210977137,0.5513298688973596,0.14660353573914264,0.17199073581720953,-0.38667556448181983,5785
turnover_penalty,0.3,0.8615083364308506,0.45951074421722954,1.2749789228212471,0.310178467533491,0.5513298688973596,0.14466458570179141,0.17455646545014794,-0.39040547508138046,5785
lam_scale,0.1,0.8002380575187625,0.40429436035595157,1.208947447121847,0.24890818862140296,0.5513298688973596,0.13177276573743635,0.17355836299864388,-0.3504697168824209,5785
lam_scale,0.2,0.7996902252894104,0.4040732676651267,1.209757373535029,0.24836035639205079,0.5513298688973596,0.13142683150165535,0.1732265010150022,-0.3506201086265861,5785
lam_scale,0.3,0.826803407872101,0.43740289181432934,1.248277220176542,0.27547353897474147,0.5513298688973596,0.135833907960484,0.17199118377796196,-0.34727150627869074,5785
lam_scale,0.5,0.8390015133231851,0.4439874563032277,1.2403880366166171,0.2876716444258255,0.5513298688973596,0.13732657380202018,0.17081882733507278,-0.34794756678818306,5785
lam_scale,0.7,0.8247039490674446,0.40946949243227004,1.237229224684362,0.273374080170085,0.5513298688973596,0.13260802364275626,0.16818884188088323,-0.348008106088348,5785
lam_scale,1.0,0.7665763827319417,0.3735550366934578,1.1663796276651568,0.21524651383458215,0.5513298688973596,0.11928680393742197,0.1647790416742471,-0.3486840396357904,5785
lam_corr,0.0,0.839502038216837,0.4483965803402376,1.2527916128470522,0.2881721693194774,0.5513298688973596,0.1380605725703863,0.17165465135423416,-0.3472749060500404,5785
lam_corr,0.05,0.8439171177917095,0.4528624713550708,1.2484490201278409,0.29258724889434995,0.5513298688973596,0.13875781336623416,0.17144023172275036,-0.3472724697526455,5785
lam_corr,0.1,0.8387971329899623,0.44955175811327003,1.2477405752800101,0.2874672640926027,0.5513298688973596,0.13753860955386532,0.17115003671226767,-0.34793114299838546,5785
lam_corr,0.15,0.8398222145236247,0.45026336906904846,1.2464650998946325,0.28849234562626513,0.5513298688973596,0.137708088612416,0.1711106156708675,-0.347944912709388,5785
lam_corr,0.2,0.8390015133231851,0.4439874563032277,1.2403880366166171,0.2876716444258255,0.5513298688973596,0.13732657380202018,0.17081882733507278,-0.34794756678818306,5785
lam_corr,0.25,0.8291864540061225,0.428883711942182,1.227531396534421,0.2778565851087629,0.5513298688973596,0.13465855432213902,0.1697863035632443,-0.34796672095557823,5785
lam_corr,0.3,0.8228208938783772,0.420408481704604,1.2231805108204694,0.2714910249810176,0.5513298688973596,0.1331480969962151,0.16940114840762377,-0.34797466613740313,5785
lam_corr,0.5,0.7984444057594663,0.37954239808020274,1.2069232608986968,0.24711453686210672,0.5513298688973596,0.12678352582415764,0.16702562409461572,-0.3484457643119053,5785
lam_corr,0.6,0.7708010449865189,0.34941696767540703,1.182536279466713,0.21947117608915934,0.5513298688973596,0.12046034769646119,0.16536356917613573,-0.34876325014017995,5785
